42574
/m/0bpny
/m/0bpny
Robert Jordan
1996-05-15
a 4
about 1
accompanied 1
aes 2
after 3
against 1
almeara 1
also 1
altara 1
althor 1
alvere 1
and 9
as 1
ashaman 1
athaan 1
attack 1
attacks 1
attempt 1
attempting 1
aviendha 1
behind 1
bond 1
bowl 1
break 1
brought 1
but 1
by 4
cairhien 1
called 1
caught 1
cauthon 1
city 1
climate 1
confront 1
crown 4
dagger 1
dar 2
dark 1
defeats 1
destroyed 1
dragon 1
duel 1
during 1
ebou 2
egwene 3
elaida 1
elayne 1
enjoying 1
enlist 1
exploits 1
fain 1
farshaw 1
fealty 1
fighting 1
find 1
folk 1
for 2
force 1
formerly 1
forsaken 1
friend 1
from 1
gholam 1
has 1
heat 1
help 1
her 1
him 1
his 1
illian 3
in 11
injures 1
invade 1
investigate 1
is 3
it 1
kin 1
lan 1
laurel 1
left 1
life 1
logoth 2
manipulate 1
manipulation 1
mashadar 1
mat 2
miere 1
min 1
moiraine 1
move 1
myrelle 3
nisao 1
nobles 1
now 1
nynaeve 1
of 9
olver 1
on 1
one 2
or 1
order 1
padan 1
plotlines 1
power 1
prepares 1
primary 1
quell 1
rand 3
rebellion 1
rebels 1
reborn 1
recovering 1
salidar 1
sammael 3
sanche 1
sea 1
seanchan 1
search 1
searching 1
sedai 2
severely 1
shadar 2
siuan 3
suspicions 1
swear 1
swords 2
takes 1
tar 1
terangreal 1
the 21
then 1
they 2
three 1
to 9
tower 1
trakand 1
transfer 1
unnatural 1
valon 1
warder 1
where 1
which 1
while 1
white 1
winds 1
with 2
