4118565
/m/0bk3cb
/m/0bk3cb
Piers Anthony
2007-10-16
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
13yearold 1
2004 1
a 10
after 2
agreed 1
air 1
all 1
also 1
an 1
and 6
anthony 2
apparent 1
are 1
as 4
asked 1
author 1
based 1
be 2
beasts 1
been 1
beings 1
better 1
book 3
books 2
bra 1
cast 1
centaur 1
character 2
characters 1
constantly 1
constitute 1
could 1
cover 1
death 1
debra 9
debraing 1
delighted 1
depicted 1
eagle 1
endless 1
explained 1
fan 1
father 2
flying 1
for 2
front 1
fun 1
get 1
girl 2
hardback 1
has 2
have 2
he 1
her 3
him 1
his 1
huge 1
ida 1
in 5
include 2
includes 1
inspiration 1
intended 1
is 5
it 1
kawaguchi 3
killough 1
kindspirited 1
known 1
longest 1
loved 1
many 1
mentions 1
moons 1
most 2
mr 2
murder 1
mystery 1
nature 1
notes 1
of 8
off 1
on 2
only 1
outrageous 1
piers 4
pressured 1
pun 2
puns 1
punslee 1
readers 1
reading 1
real 1
review 1
series 3
set 1
she 1
so 1
speak 1
stated 1
successful 1
succession 1
take 1
that 3
the 12
they 1
think 1
through 1
to 8
typical 1
understanding 1
was 2
way 1
who 2
wichita 1
wondrous 1
would 2
wrote 1
xanth 4
