708688
/m/034n52
/m/034n52
Kate Wilhelm
1976
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
20 1
410 1
a 9
ability 2
accept 1
adapt 1
adding 1
after 4
again 1
ago 1
all 2
also 2
an 6
and 14
are 7
around 1
as 5
assumed 1
at 3
atmosphere 2
attempt 1
attributed 1
away 1
be 2
become 1
been 4
before 2
begins 1
being 1
blazing 1
blue 1
blueblack 1
book 2
by 3
catastrophe 1
cause 2
caused 1
causes 1
changes 1
child 1
childhood 1
children 1
cities 1
civilization 1
clear 1
climax 1
cloned 1
clones 9
cloning 4
cndva 1
cnttoare 1
colder 1
collapse 1
come 2
coming 1
community 9
continue 2
could 1
created 1
creativity 1
dawniej 1
day 2
death 1
depend 1
destroyed 1
disaster 1
discover 2
discovered 1
discovering 1
discovers 1
disease 2
do 1
due 1
each 3
earlier 1
eliminate 1
empathic 1
ending 1
endless 1
enormously 1
enough 1
environmental 1
equipment 2
ever 1
expedition 3
expelled 1
extended 1
family 2
favor 1
fertility 1
filth 1
find 2
forced 1
frhier 1
from 5
further 1
gaining 1
generations 5
getting 1
gives 1
global 2
goes 1
group 1
groups 1
grow 1
growing 1
grows 1
had 3
has 2
have 4
he 7
her 2
hightechnology 2
him 1
himself 1
his 4
however 2
human 1
idea 2
ideas 1
in 9
individuality 4
individuals 1
infancy 1
infertile 1
infertility 1
instead 1
is 3
isolated 1
it 3
its 1
lack 1
large 1
largescale 1
lasting 1
later 1
latest 1
lead 1
leaders 1
leads 1
leave 1
les 1
level 1
live 1
long 1
longer 1
lose 1
losing 2
lower 1
makes 1
man 3
mark 5
massive 1
materials 1
megatons 1
members 1
might 1
modern 1
moister 1
more 5
mounts 1
multiple 1
must 1
naturally 1
nearby 1
never 1
new 3
night 3
noncreative 1
norm 1
not 1
novel 1
now 2
of 24
ofage 1
oiseaux 1
old 1
on 4
one 2
order 1
original 1
other 2
outnumbered 1
over 1
passes 1
passing 1
people 1
persuaded 1
piewa 1
plgdzie 1
pollution 2
problem 1
problems 1
process 1
produced 1
psri 1
ptak 1
publication 1
rather 1
realize 1
reference 1
regains 1
reject 1
remember 1
reproduction 2
resist 1
restored 1
result 1
return 1
returns 2
reversed 1
reverted 1
rounde 1
ruins 1
see 1
seemed 1
seen 2
sees 1
sense 4
separated 1
sets 1
sexual 2
she 1
simultaneously 1
since 1
sky 1
snows 1
social 2
solutions 1
something 1
soon 1
stars 2
start 1
starting 1
still 1
stopped 1
structure 1
suave 1
summer 1
survive 2
sustainable 1
technology 1
teenager 1
than 4
that 10
the 46
their 3
themselves 1
then 1
they 6
this 1
though 1
thought 1
thrive 1
time 2
to 26
toll 1
too 1
two 1
unable 3
uniqueness 1
universally 1
up 3
velvet 1
village 1
wake 1
warming 1
was 1
weather 1
welltodo 1
were 2
what 1
when 2
where 1
which 1
while 1
who 1
will 2
winter 1
winters 1
with 6
woman 1
world 1
years 1
younger 1
