623346
/m/02xrqr
/m/02xrqr
Jorge Amado
1959
a 21
about 2
after 4
alcohol 1
all 2
alone 1
always 1
an 1
and 21
are 1
army 1
as 1
ass 1
at 1
attempts 1
attention 1
attract 1
attracting 1
aunt 1
bahia 1
bangs 1
barker 1
be 2
beautiful 1
became 1
because 1
been 1
black 1
board 2
boat 2
body 4
book 1
bottle 1
breezy 2
brother 1
bum 1
burial 1
but 3
by 5
calling 1
can 1
candles 1
cannot 1
capn 2
card 1
care 2
casket 2
catching 1
caught 1
church 1
closest 1
clown 1
cold 1
come 1
compete 1
coworkers 1
cunha 2
curi 1
curious 1
da 2
daddy 1
daughter 1
day 1
dead 2
death 1
decide 1
delicious 1
despised 1
despite 1
discharged 1
disgraced 1
dock 1
docks 1
dona 1
each 1
earned 1
eduardo 1
efforts 1
employee 1
end 2
engaged 1
evening 1
ever 1
excursion 1
exemplary 1
experiments 1
face 1
family 4
favorite 1
feed 1
final 1
fish 1
fishing 1
fit 1
fitting 1
fling 1
for 7
found 1
four 2
frequently 1
friends 5
frog 1
frogs 1
from 6
gather 1
generosity 1
get 1
gift 1
girlfriend 1
give 1
go 1
gone 1
got 1
gradually 1
group 1
groups 1
had 3
happened 1
happens 1
has 1
have 1
he 6
her 2
hide 2
him 4
himself 1
his 14
hollow 1
home 1
honkytonks 1
hour 1
how 3
husband 1
ignore 2
impact 1
in 5
including 1
is 7
it 6
joaquim 2
jokes 1
just 1
juxtaposed 1
keep 2
king 1
last 4
lead 1
learing 1
leaves 1
leaving 1
led 1
left 1
leonardo 3
like 1
liquor 1
lived 1
lives 2
living 1
local 1
loved 2
made 1
makes 1
making 1
man 1
manuel 2
marocas 1
martim 2
medical 1
memory 1
men 1
morning 1
mother 1
mourning 1
much 2
must 1
neighborhood 1
news 2
nickname 1
night 2
no 2
now 2
oath 1
of 14
off 1
on 6
once 2
one 6
only 1
order 1
otacilia 1
out 2
over 2
overboard 1
paints 1
participate 1
party 1
past 1
patriarch 1
pay 1
people 2
pick 1
popular 1
press 1
private 2
proper 1
prostitute 1
prostitutes 2
quincas 20
quitria 2
really 1
recall 1
receive 1
received 1
reception 1
remember 1
reminds 1
rent 1
reputation 1
researchers 1
respects 1
roared 1
round 1
rush 1
same 1
sea 2
see 1
selling 1
serving 1
settle 1
share 1
sharp 1
she 1
shoemaker 1
shoes 1
shore 1
silly 1
simple 1
sister 1
slum 2
slums 1
smile 1
so 1
soares 2
sob 1
soldier 1
solemn 1
spit 1
state 1
stew 2
store 1
storm 1
suddenly 1
suit 1
supported 1
swig 1
take 3
taking 2
telling 1
tend 1
that 9
the 34
their 4
them 6
then 1
they 11
thought 1
to 19
too 1
tossed 1
tosses 1
towering 1
tries 1
trip 1
trying 1
two 1
underwear 1
up 2
vagabond 1
vanda 5
vipers 1
waaaaaaater 1
wailing 1
walking 1
was 4
watch 1
watched 1
wateryell 1
way 2
what 3
which 1
who 9
will 2
with 2
without 1
witness 1
women 1
worries 1
would 1
