213693
/m/01f9kf
/m/01f9kf
William Faulkner
1936

a 29
abandoned 1
about 2
absalom 2
accepts 1
accompanies 1
action 1
adding 1
affair 2
after 2
aims 1
all 1
allow 1
allowed 1
allowing 1
also 2
american 1
an 4
and 40
architect 1
are 3
army 1
arrest 1
arrives 2
as 8
aside 1
at 3
attitudes 1
back 1
base 1
be 2
bear 2
bears 1
because 2
becomes 1
becoming 1
been 3
before 1
begin 1
begins 3
believe 1
between 1
biased 1
biases 1
birth 3
birthright 1
black 2
bon 5
bond 1
bore 1
born 1
both 2
brings 1
building 1
but 1
by 7
called 1
carpetbaggers 1
casts 1
certain 1
changes 1
characters 1
charles 11
child 2
childhood 1
children 2
christmas 1
civil 1
clytie 2
coldfield 3
comes 1
company 1
complementary 1
complete 1
compson 2
conclusion 1
confederate 1
conscience 1
consumes 1
continues 1
contributes 1
could 1
daughter 6
dead 1
deceived 1
demanding 1
destined 1
details 4
die 1
differing 1
digressions 1
disappointed 1
during 1
dynasty 3
each 1
earlier 1
effect 1
ellen 2
enacts 1
ends 1
engagement 1
enlist 1
enraged 1
entirely 1
episode 1
estate 1
eulalia 2
events 1
facts 1
fall 1
family 1
father 3
feelings 2
fellow 1
few 1
fifteenyearold 1
fight 1
fills 1
final 1
finally 1
find 1
fire 1
flashbacks 1
fleeing 1
flesh 1
for 7
forced 1
fortune 1
found 1
french 2
frequently 1
friend 1
from 3
gates 1
gave 1
gives 1
goes 1
granddaughter 2
grandfather 2
grandson 1
had 4
halfbrother 2
hand 1
handicaps 1
harvard 1
has 2
have 1
he 8
heir 1
help 1
henry 13
her 1
herself 2
him 7
himself 3
his 22
home 3
hope 1
horse 1
however 3
human 1
hundred 6
imagine 1
immediately 1
in 13
incestuous 1
included 1
including 1
indies 1
ingratiates 1
initially 1
insults 1
interdiction 1
into 4
is 11
it 1
jefferson 1
jim 1
join 1
jones 2
judith 4
just 1
keen 1
killed 1
killing 1
kills 2
known 1
land 1
large 1
last 1
later 2
layers 1
leads 1
learned 1
learns 1
leave 1
leaves 1
leaving 1
left 1
legacy 1
lives 1
local 2
long 1
male 1
man 2
mans 1
mansion 2
marriage 5
marries 1
marry 1
material 1
medical 1
meets 1
memory 1
mental 1
merchant 1
miles 2
milly 4
mississippi 4
mixed 1
months 1
moral 1
more 2
mostly 1
motion 1
moves 1
must 1
mutually 1
named 3
narrated 1
narrates 1
narration 1
native 1
needs 1
new 1
newborn 1
nonchronological 1
northern 1
not 3
obtains 1
of 27
offered 1
often 1
on 5
one 2
only 1
order 1
orleans 1
ostentatious 1
out 2
overseer 1
own 4
owner 1
part 2
particularly 1
parties 1
patriarch 1
peelingbacktheonion 1
place 1
plan 2
plantation 5
posse 1
possibly 1
potentially 1
poverty 1
powerful 1
pregnant 1
presumably 1
presumed 1
prompting 1
property 1
proposed 1
proposes 1
punitive 1
quasiromantic 1
quentin 8
quiet 1
race 1
reader 4
realizes 1
receives 1
recompense 1
reduced 1
refuses 1
reinterpreted 1
relates 1
remaining 1
remains 1
renounced 1
repair 1
repairing 1
repudiates 1
resolution 1
resolves 1
rested 1
resulting 1
retelling 1
return 1
returned 1
returns 2
revealing 1
reveals 1
rich 1
rise 1
romance 1
roommate 2
rosa 6
see 1
seemingly 1
selfexile 1
senior 1
sets 1
severe 1
she 2
shreve 3
sired 1
sister 3
slave 2
slaves 1
sleeping 1
so 1
society 1
some 2
somehow 1
son 6
square 2
squatter 1
stables 1
start 1
starts 1
stop 1
story 8
student 1
subduing 1
suggestions 1
surmises 1
surrogate 1
sutpen 26
sutpens 4
takes 1
taking 1
telling 1
tells 1
ten 1
terribly 1
than 1
that 12
the 54
their 1
them 2
then 4
they 4
this 2
thomas 8
though 1
three 1
to 33
told 1
total 1
tragedy 1
tribe 1
true 1
turn 1
two 2
unfolding 1
union 1
university 3
until 3
uprising 1
virginia 1
void 1
war 4
was 3
wash 2
way 1
wed 1
wedding 1
well 2
west 1
western 1
when 4
where 4
whether 1
white 1
who 8
whom 1
whose 2
wife 3
with 12
woman 1
worked 1
working 1
worth 2
worthy 1
wrestles 1
years 1
young 2
younger 1
