6531225
/m/0g945l
/m/0g945l
Elizabeth Moon
1999
{"/m/070yc": "Space opera", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
a 24
accident 1
acquaintance 1
actions 1
admiral 2
admirals 1
after 3
against 4
ageists 1
aids 1
air 1
all 4
already 1
altiplano 1
amendments 1
an 5
ancestors 1
and 49
another 1
appear 1
appointed 4
appointment 2
appointments 1
are 4
armor 2
arranged 1
arranging 1
arrives 1
arriving 1
as 7
assassinated 1
assassination 4
assault 1
assets 1
attached 1
attack 2
attacked 1
attempting 1
authentic 1
authority 1
bacarion 6
back 2
backups 1
bad 1
barin 4
be 6
because 2
been 8
before 4
begin 1
begins 3
beheaded 1
being 2
believed 2
benignity 3
betrayed 1
between 1
beyond 1
blade 1
bonar 2
book 2
bottoms 1
brain 1
branch 1
breaks 1
breather 1
bribed 1
broke 2
brother 3
browses 1
brun 3
bunny 5
but 7
buttons 1
buying 1
by 18
called 1
came 1
capabilities 1
casual 1
cecelia 7
chairman 3
change 4
chiefs 1
children 1
clans 1
claws 1
cliffs 1
close 1
cobble 1
colonial 1
colonies 1
colony 3
colors 1
comes 1
command 4
commander 2
communications 1
compare 1
compassionate 1
complicity 1
confusion 1
connections 1
conselline 2
consellines 1
contaminated 1
contents 1
control 1
conversation 2
convert 1
conviction 2
copper 4
corpse 1
correctly 1
could 1
council 1
covertly 1
culprit 1
curious 1
damaged 1
danger 1
days 1
dead 1
death 2
declined 1
deeply 2
defeated 1
deliberately 1
demonstrating 1
destroyed 1
did 1
disable 1
disastrous 1
discovers 2
disregard 1
does 1
drive 2
drops 1
drugs 3
during 1
duties 1
duty 1
early 1
effect 1
eldest 1
elements 1
emergency 1
enemy 1
engaged 1
engagement 2
engineered 1
ensuing 1
entire 1
escape 1
esmay 3
especially 1
estate 1
evade 1
even 3
event 1
events 2
eventuality 1
eventually 2
everything 1
exactly 1
examined 1
examines 1
excet24 2
executing 1
expansionist 1
exploited 1
extended 1
extinguished 1
extreme 1
fabricated 1
faction 1
failed 1
fake 1
fall 1
falsified 1
familias 3
families 1
family 4
fathered 1
favorable 1
feigns 1
fellow 1
fencing 1
fierce 1
first 1
flag 1
fleet 5
followed 1
foolishly 1
for 11
foreign 1
fostering 1
from 3
full 2
funeral 1
gelan 6
general 1
gets 1
git 1
godfearing 1
going 1
gone 2
good 1
grapples 1
ground 1
had 14
hand 1
handicrafts 1
harlis 4
has 9
have 6
he 11
help 1
her 6
highranked 1
him 4
himself 1
his 14
history 1
hobart 5
home 1
horrible 1
horrified 1
how 1
however 1
hunting 1
hurry 1
idle 1
if 1
illconsidered 1
immediately 1
imminent 1
implies 1
important 1
in 20
inbreeding 1
inferior 1
inheritance 1
insinuates 1
insists 1
installation 1
instructed 1
intact 1
intends 1
into 2
iosep 1
is 25
islands 1
issue 1
it 6
its 2
join 1
judges 1
jump 1
junior 1
just 4
kill 1
killed 3
killing 3
laboratories 1
labs 1
lacs 2
lady 1
last 1
late 1
lava 2
lawsuits 1
leaders 1
learned 1
leaves 1
lepescu 3
libraries 1
lieutenant 1
life 1
like 2
liked 1
little 3
load 1
look 1
lord 1
luck 1
maintains 1
major 1
majority 1
managed 1
manages 1
manhunts 1
manipulated 1
manipulates 1
