31579188
/m/0gls_66
/m/0gls_66


{"/m/01hmnh": "Fantasy"}
13th 1
1477 1
a 24
abilities 1
ability 1
above 1
absorbing 1
accident 1
achieved 1
across 1
advice 2
africa 2
against 1
aim 1
alive 1
all 3
allow 1
allows 1
almost 1
also 2
among 1
an 7
and 20
are 6
arranged 1
arrive 1
artificial 1
as 11
ash 15
assault 3
attack 1
attempt 1
attempts 1
augment 1
backup 1
be 3
before 3
begins 2
being 3
beings 1
besieged 1
best 1
both 2
burgundian 2
burgundians 1
burgundy 4
burnished 2
but 6
by 10
camp 1
can 5
capable 2
captured 1
carthage 10
carthaginian 3
cast 1
central 1
ceremonial 1
certain 1
change 2
changes 1
channel 1
child 1
choose 1
city 1
civilization 1
clashed 1
combat 1
communicating 2
company 2
complete 3
computer 1
conduct 1
conquer 1
conquest 1
constant 1
continent 1
continues 1
control 1
country 1
covered 1
create 4
created 1
crops 1
curse 1
dark 5
darkness 4
de 1
degree 1
descended 1
describe 1
designed 2
destroy 1
destroyed 1
determines 1
dies 1
discover 1
discovers 2
distances 1
do 1
drawing 1
dried 1
duchess 1
duchy 1
due 1
duke 5
duplicate 1
during 2
earl 1
empire 1
english 1
escape 1
established 1
eugenics 1
europe 6
exiled 1
explain 1
extraordinary 1
failing 1
family 1
faris 9
feels 1
few 1
fight 1
find 1
flee 1
floria 2
florian 2
flowed 1
follower 1
for 2
forces 7
foundling 1
free 1
friend 1
from 6
general 1
getting 1
gives 1
grace 2
great 1
grew 1
group 1
hard 1
have 5
head 3
hear 1
hears 1
her 11
herself 2
hired 1
holdout 1
how 1
human 1
humanity 2
humans 1
hundred 1
hunt 1
importance 1
in 10
including 1
infection 1
insist 1
instituted 1
instructed 1
intelligences 1
intend 1
intended 1
invaders 1
invasion 2
is 16
it 2
italy 2
its 1
itself 1
john 1
kill 4
killed 1
lands 2
last 1
learn 1
learns 2
leave 1
led 1
lesser 1
life 1
light 1
machines 8
magical 1
maintain 1
major 1
mankind 1
mechanical 1
meeting 1
meets 1
member 1
men 2
mercenaries 1
military 1
miracle 5
miracles 1
mission 1
more 2
most 1
must 1
mysterious 2
near 2
need 2
new 1
nobleman 1
north 2
not 2
now 1
of 23
on 3
once 1
one 1
only 1
order 3
organizes 1
origins 1
orphan 1
out 3
over 1
own 1
oxford 2
pass 1
people 3
peopled 1
perpetual 1
physician 1
plan 1
possess 1
possesses 1
post 1
power 3
powerful 2
powers 1
presence 1
prevalent 1
prison 1
program 1
provide 1
psychic 1
pyramids 2
rabbi 1
range 1
reality 6
realizes 1
realizing 1
reason 1
result 3
retreat 1
revealed 1
rise 1
river 1
rome 1
royal 1
run 1
runs 1
save 1
sent 1
sentience 1
sentient 1
servant 1
set 1
settle 1
she 6
shocked 1
show 1
siege 1
similar 1
simulations 1
situations 1
smuggled 1
so 1
soldiers 1
solve 1
some 2
sort 1
stabilizing 1
stage 1
starving 1
succeeds 1
successful 1
successor 1
such 1
sun 1
supernatural 1
sympathetic 1
tactical 1
takes 1
than 1
that 9
the 62
their 7
them 3
themselves 1
there 2
they 17
this 3
through 2
to 35
totally 1
transvestite 1
tries 1
trivial 1
troops 1
true 1
truth 1
under 3
undertake 1
unfortunately 1
unravel 1
up 2
use 2
using 1
various 1
vast 1
vere 1
visible 1
visigoths 1
voice 4
warp 1
was 2
watched 1
ways 1
western 1
when 1
which 8
while 1
who 3
why 1
wild 7
will 2
winner 1
wiping 1
with 8
woman 2
work 1
working 1
years 1
