3762180
/m/09zmw0
/m/09zmw0
Margaret Mahy
2002-11-04
2003 1
7th 1
a 3
abilities 1
alchemy 2
an 2
and 3
assignment 1
awards 1
been 1
book 2
books 1
both 1
boy 1
but 1
by 1
caught 1
changeover 1
children 1
class 1
endangers 1
enemy 1
eventually 1
ferret 1
fiction 1
finds 1
for 1
former 1
from 1
gets 1
girl 2
given 1
has 2
haunting 1
he 1
her 1
him 1
his 1
however 1
in 1
information 1
into 1
is 4
jess 1
lives 1
mahy 1
mysterious 1
new 1
not 1
of 1
on 1
other 1
out 1
past 1
post 1
power 1
roland 2
section 1
senior 1
shoplifting 1
similar 1
situation 1
spy 1
studying 1
that 1
the 7
their 1
them 1
themes 1
to 2
two 1
unlike 1
unusual 1
using 1
wants 1
which 1
who 2
won 1
zealand 1
