31068518
/m/0gg9s0s
/m/0gg9s0s
Raymond E. Feist
1997-04-07
{"/m/01hmnh": "Fantasy"}
a 4
all 1
allies 1
almost 2
and 5
anticipated 1
are 6
armies 1
army 4
as 2
being 2
black 1
books 1
by 1
called 1
capable 1
clearer 1
darkmoor 1
demon 1
destroying 1
emerald 3
enemies 1
erik 1
explained 1
feist 1
figures 1
finally 1
financing 1
for 1
have 1
help 1
her 1
in 3
inhabited 1
invasion 1
is 6
king 2
krondor 1
lifestone 1
light 1
lot 1
macros 1
made 1
magic 1
magical 1
making 1
midkemia 2
miranda 1
more 1
mysterious 1
nakor 1
no 1
of 9
origins 1
plus 1
point 1
power 1
preparations 1
queen 3
rage 1
revealed 2
rupert 1
secret 1
secrets 1
seen 1
sergeantmajor 1
singlehandedly 1
some 2
source 1
staging 1
that 1
the 11
there 2
to 1
upon 2
vast 1
von 1
war 1
well 1
who 1
worlds 1
