8702341
/m/027fj1c
/m/027fj1c
Iris Murdoch
1970
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
about 1
accident 1
affair 1
air 1
all 1
almost 1
alone 1
also 1
america 1
an 1
and 20
anyone 1
anything 1
apart 1
appears 1
are 4
arrived 1
as 1
at 2
attempts 1
avoiding 1
axel 4
be 3
being 1
bet 1
between 1
blackmail 1
book 1
break 1
breaking 1
brother 1
brotherinlaw 1
browne 5
but 3
by 5
can 2
causing 1
characters 1
chastening 1
complicated 1
compromising 1
concern 1
conduct 1
confront 1
conned 1
consequences 1
considerable 1
contemplated 1
cool 1
couple 1
criminality 1
cruel 1
cunning 1
damage 1
determined 1
determines 1
disarray 1
does 1
done 1
dramatizing 1
embarking 1
england 1
escape 1
everyone 1
exgirlfriend 1
extra 1
falling 1
fellow 2
finished 1
flaws 1
fooled 1
for 5
former 1
formidable 1
foster 2
fosters 3
friends 4
from 3
full 2
further 1
game 1
get 1
gladly 1
good 1
gratuitously 1
harm 1
has 3
have 1
he 9
her 8
high 1
him 2
himself 2
his 9
homosexual 3
hot 1
how 1
husband 2
if 1
immediately 1
importunities 1
in 12
inclined 1
include 1
integrity 1
intellect 1
interesting 1
into 3
intrigued 1
irritated 1
is 9
job 1
julius 4
just 2
keep 1
king 9
kings 1
labyrinth 1
learns 2
leave 1
less 1
life 1
lives 1
love 6
lover 1
lovers 1
loves 1
machinations 1
make 1
makes 1
man 1
mate 1
meanwhile 1
meets 1
mixture 1
moral 1
more 1
morgan 8
much 2
nephew 1
nerveless 1
never 1
nillson 2
no 1
nondescript 1
not 4
nowyouseeitnowyoudont 1
of 12
old 2
on 3
only 1
out 2
past 1
patronizing 1
personal 1
peter 1
pinches 1
plans 1
plot 1
power 1
presence 1
problems 1
put 1
quick 1
rather 2
ready 1
relationship 1
responsibility 1
result 1
returning 1
revealing 1
ridiculously 1
ripe 1
rupert 5
ruperts 1
same 2
school 1
see 1
seeks 1
sees 1
selfsatisfied 1
serious 1
sets 1
several 1
shamefaced 1
she 1
sheer 1
simon 3
since 1
sisterinlaw 1
situations 2
somehow 1
spurned 1
still 2
strengthened 1
suffer 1
takes 2
tallis 2
task 1
tempts 1
that 1
the 16
their 2
them 3
they 2
though 1
thrown 1
thwarted 1
time 2
to 11
together 1
ultimately 1
unclear 1
university 1
up 2
using 1
vulnerable 1
way 1
what 1
when 1
whether 1
which 3
who 1
will 1
with 4
without 1
would 1
