13429643
/m/03c5141
/m/03c5141
Frances Vernon
1994-06-16
1858 1
a 11
able 1
admires 1
affair 2
affairs 1
affects 1
also 2
american 1
amongst 1
an 1
ancient 1
and 6
another 1
ansteyward 1
around 1
arthur 1
arthurs 1
as 1
at 1
attitude 1
attracted 1
be 1
begins 2
behaviour 1
believe 1
between 1
boy 1
boys 2
break 1
brightreveals 1
but 3
by 2
career 1
charton 2
christian 3
clergyman 1
confidence 1
consider 1
credited 1
describes 1
dr 1
due 1
english 1
europe 1
event 1
exert 1
experience 1
father 1
fictional 1
following 1
forced 1
george 1
gives 1
great 1
greek 1
guilt 1
had 1
has 3
having 1
he 4
headmaster 2
him 3
himself 1
his 4
hold 1
holiday 1
homosexual 2
how 1
ideal 1
idealistic 1
ie 1
in 5
incredulous 1
indiscreetly 1
information 1
inner 1
institution 1
is 8
it 1
latter 2
leaves 1
letter 3
life 1
little 1
love 1
loversarthur 1
males 1
man 1
many 1
may 1
much 1
north 1
not 1
note 1
novel 1
now 1
of 9
on 2
one 1
only 1
onslow 7
onslows 1
passionate 1
permissive 1
personal 1
platonic 1
plot 1
poor 1
possession 1
powerful 1
precipitated 1
previously 1
private 1
prompts 1
public 1
pupil 1
pupils 1
radically 1
relates 1
relationships 1
relatively 1
reputation 1
rest 1
reveal 1
school 4
secondary 1
secret 2
seen 1
selfdoubt 1
several 1
sexually 1
shocked 1
should 1
situation 1
still 1
story 2
successful 1
summer 1
than 1
that 2
the 17
them 1
themselves 1
there 1
this 2
to 10
turned 1
unfold 1
usage 1
use 1
very 1
when 2
where 1
whether 1
which 1
while 1
who 1
whole 1
with 4
written 1
year 1
young 2
younger 1
