27651659
/m/0c40944
/m/0c40944

2010-06-01
{"/m/016chh": "Memoir"}
3 1
a 7
about 1
age 1
also 3
always 1
american 2
and 15
appreciates 1
archuleta 7
as 1
at 1
audition 1
because 1
been 2
born 1
by 1
can 1
cant 1
challenges 1
champion 1
childhood 1
christ 1
church 1
concepts 1
concludes 1
continues 1
cord 1
dancing 1
decisions 1
describe 1
described 3
describing 1
detail 1
difference 1
done 1
dreams 1
encounters 1
encouraged 1
enjoyed 1
even 1
events 1
eventually 1
experience 1
experiences 1
faith 1
family 3
fan 1
fans 1
father 1
felt 1
first 1
florida 1
follow 1
for 4
generations 1
grounded 1
had 1
has 3
he 8
helped 1
her 1
him 9
his 15
honduras 1
how 4
huge 1
idol 2
impact 1
improvisation 1
in 5
including 2
influence 3
influenced 1
inspiring 1
introduced 1
is 1
jazz 1
jeff 1
jenny 1
jesus 1
jones 1
junior 1
kept 1
latterday 1
leading 1
les 1
love 1
lupe 1
make 1
member 1
members 1
memoir 2
misrables 1
mother 1
moving 1
much 1
music 1
musical 2
of 8
on 3
optimistic 1
others 1
paralysis 1
participation 1
pedro 1
plant 1
player 1
provided 1
readers 1
remember 1
reveals 1
saints 1
san 1
search 1
season 2
seventh 1
she 1
show 2
showed 1
sing 1
singing 1
sisters 1
star 1
starts 1
stay 1
suffered 1
sula 1
support 1
talent 1
taught 2
that 3
the 12
their 2
then 1
throughout 1
title 1
to 5
top 1
tree 1
trumpet 1
up 1
utah 2
various 1
vocal 2
was 3
what 1
when 2
which 1
with 4
won 1
writes 1
writing 1
you 2
young 1
younger 1
