20614663
/m/051x_8z
/m/051x_8z
Ashwin Sanghi

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
12 2
a 6
according 1
add 1
after 1
ago 1
also 1
although 1
americas 1
among 1
an 1
and 13
andreas 1
another 2
answer 1
apostles 2
apparently 1
are 3
armageddon 1
as 2
assassin 1
assisting 1
at 1
away 1
back 1
bal 1
based 1
be 1
before 1
bestsellers 1
between 1
bloodline 1
book 2
books 1
brown 1
buddhist 2
build 1
building 1
buried 1
by 7
called 1
cauldron 1
christ 1
christianity 1
christs 1
claim 1
code 1
controversial 1
cooperate 1
could 1
covers 1
cross 1
crucifixion 1
crusades 1
crux 1
da 1
dailies 1
dalai 1
dan 1
day 2
deals 1
decussata 1
defeated 1
dei 1
depth 1
descendant 1
devi 1
did 1
die 1
died 1
directly 1
each 1
easier 1
elders 1
ending 1
enough 1
essene 1
fact 1
fastforward 1
fiction 1
fight 1
final 2
find 1
first 2
five 1
fled 1
for 3
found 1
foundation 1
further 1
goes 2
great 1
greater 1
ground 1
group 6
had 1
have 2
he 1
healer 1
hindu 1
hindus 1
his 2
holger 2
holiest 1
home 1
in 10
including 1
incorporating 1
india 8
inquires 1
inspired 1
into 1
is 7
islam 1
israel 1
issue 1
it 2
japanese 1
jesus 10
jihadis 1
judea 1
kaiser 1
kashmir 1
kashmirs 1
keeps 1
kerala 1
kersten 1
kerstens 1
kicks 1
lamas 1
largest 1
lashkaretaiba 1
life 1
like 1
line 3
lionheart 1
lived 1
logic 1
lost 1
magazine 1
magdalene 1
manner 1
married 1
mary 1
masters 1
may 1
men 1
monks 1
moses 1
most 1
national 1
never 1
new 1
news 1
not 1
of 10
off 1
on 2
one 6
opus 1
or 1
other 2
permuta 1
possibly 2
postulates 1
preach 1
present 2
presentday 1
president 1
protective 1
ranked 1
rather 1
read 1
regarding 1
reincarnation 1
religions 1
returned 1
reveals 1
richard 1
roza 1
rozabal 3
safety 1
saladin 1
says 1
searched 1
searching 1
sent 1
several 1
shrines 1
similarities 1
something 1
spirited 1
spiritual 2
st 1
stated 1
step 1
storyline 1
study 1
surprisingly 1
tale 1
tehelka 1
ten 1
than 1
that 10
the 36
them 1
then 1
theory 2
there 3
thirteen 1
this 8
thomas 1
thousand 1
three 1
thriller 1
to 13
today 1
tomb 1
top 1
touched 1
towards 1
traced 1
travelled 1
tribes 1
twist 1
two 2
umbrella 1
under 2
unexpected 1
union 1
upon 1
used 1
vaishno 1
vinci 1
was 3
we 1
weekly 1
well 1
were 1
whether 1
which 2
while 1
who 1
widely 1
wise 1
with 4
woman 1
wondering 1
working 2
world 1
years 1
yesu 1
york 1
you 1
