386988
/m/022bb8
/m/022bb8
Troy Denning

1 1
25000 1
a 14
aboard 2
above 1
academy 1
admiral 2
advance 1
after 4
again 1
aggressive 1
aide 1
airskimmers 1
alema 1
algae 2
alive 1
all 4
alljedi 1
along 1
already 4
also 4
although 2
ambushed 1
among 1
an 4
anakin 13
and 50
anor 1
antilles 1
apprentice 1
are 3
as 11
assault 2
assembled 1
at 3
attack 1
attacked 1
attacking 1
attempt 1
attempted 1
avail 1
avoid 1
base 2
batter 1
battle 7
battles 1
be 3
beast 2
because 1
become 1
been 2
before 5
began 1
begun 2
behind 2
being 1
bel 1
believed 1
below 1
biggest 1
biotoxin 1
bits 1
black 1
blow 1
bodies 1
body 2
bomb 1
bombed 1
book 1
borleias 1
borsk 3
both 1
breather 1
brief 1
broke 1
brother 3
buildings 2
built 1
burning 1
but 6
buying 1
by 8
called 1
came 1
can 1
capable 1
capital 1
captured 1
captures 1
casualties 3
causing 2
chance 1
charge 1
chazrach 1
chief 5
children 1
choice 1
citizens 1
city 2
cityplanet 1
clones 1
cloning 4
cluster 1
come 1
comet 1
command 2
commanded 1
commandeered 1
commander 1
commanding 3
comprises 1
comrades 1
condition 1
conquest 1
consider 2
considerable 1
contact 1
containing 1
continue 1
coordinating 1
coralskipper 1
coralskippers 1
core 1
coruscant 7
could 1
council 1
crashing 1
creation 1
creatures 2
crippled 1
crisis 1
cruel 1
cruisers 1
currently 1
damage 3
danger 1
dangerous 3
dark 3
data 1
days 1
dead 1
deadly 1
death 5
deaths 1
debate 1
decided 3
defeated 1
defenders 2
defense 2
deliberately 1
delivered 1
departure 1
desiredthe 1
desperation 1
destiny 1
destroy 2
destroyed 1
destroying 1
destruction 1
devastated 1
devoured 1
did 2
didnt 1
died 2
difficult 2
diminished 1
disabled 1
discipline 1
discovered 1
djo 1
does 1
done 1
doublecrossed 1
down 2
droids 1
dropships 1
during 2
earlier 1
eclipse 1
effective 1
effectively 1
efforts 1
enemy 2
engineered 1
enormous 1
entire 1
escape 2
escaped 2
even 3
eventually 2
evil 1
exploded 1
extensive 1
extremely 1
faced 1
faces 1
facility 2
failed 1
falcon 1
fall 1
fearing 1
fell 2
felt 1
feral 1
feylya 4
fields 1
fighting 1
final 1
find 1
finish 1
fire 3
fired 1
flat 1
flee 2
fleet 8
foil 1
follow 1
for 8
force 5
forceadept 1
forced 2
forces 1
form 1
former 3
fought 1
four 1
friend 1
friends 1
frigate 1
from 7
front 1
full 1
galactic 1
garm 1
general 2
genetically 1
get 1
getaway 1
getting 1
green 1
grounds 1
group 10
had 11
half 1
han 2
hand 1
hands 2
happened 1
have 5
having 1
he 10
head 1
headquarters 1
heartbeat 1
heavy 1
her 4
him 4
himself 3
his 17
hit 1
hold 1
homeworld 1
hostage 1
hunt 2
hunting 1
iblis 2
idea 1
if 2
ignored 1
impact 1
imperial 3
important 1
in 13
including 1
information 2
initial 1
injured 2
instead 1
intelligent 1
intended 1
into 8
invasion 1
is 3
it 4
its 1
jacen 6
jade 1
jaina 5
jedi 13
join 1
