10373615
/m/02q9rq3
/m/02q9rq3
Jacqueline Wilson
2005
10 1
60 1
a 16
about 5
absurd 1
admission 1
afraid 2
after 4
again 1
agitated 1
also 1
an 4
and 39
another 1
antique 1
anymore 1
anyone 1
are 3
argument 1
around 1
arrives 1
art 3
as 7
asks 2
at 1
away 1
babysit 1
back 3
ban 1
bases 1
be 4
because 1
been 1
begins 1
being 2
blonde 1
book 1
books 1
bossy 1
boy 1
briefly 1
bunks 1
but 9
called 1
calling 1
calls 1
calm 2
can 1
cannot 3
cant 1
change 1
childhood 1
children 1
chocolate 1
class 2
classes 2
colors 1
come 1
comes 2
confesses 1
confident 1
confides 1
confronts 1
consider 1
consists 1
continue 1
continues 1
counted 1
crush 1
dad 4
daughter 1
day 2
debts 1
decides 2
dense 1
develop 1
develops 1
difficult 1
discovering 1
do 2
does 2
down 1
drive 1
dyslexic 1
easily 1
easy 2
educating 1
education 1
else 1
end 1
enjoys 1
essay 1
even 1
everyone 2
exams 1
expelling 1
extremely 1
family 1
fantasising 1
father 4
feeling 1
figgy 1
finally 1
find 1
finds 5
first 1
flying 1
for 5
forward 1
friends 1
from 3
gcses 1
get 2
gets 3
girl 2
girlfriend 1
girls 3
give 1
gives 1
go 3
going 4
good 2
goodbye 1
grace 9
grumbling 1
had 1
hand 1
happy 1
hard 1
has 6
have 2
having 1
he 14
head 1
hearted 1
heavy 1
help 1
helps 1
her 16
high 2
him 6
himself 1
his 9
home 2
hope 1
hospital 1
however 1
hugging 1
hugs 1
i 1
idea 1
if 1
iggy 1
immature 1
immediately 1
immensely 1
in 5
incident 1
insists 1
intelligence 1
is 15
it 5
jealous 1
job 2
keep 1
keeping 1
kids 1
kind 1
kingtown 1
kiss 1
kisses 2
lacy 2
last 1
later 2
laugh 1
leave 1
lessons 2
like 1
likes 1
lives 1
look 1
loses 1
love 1
loves 2
mad 1
makes 2
making 1
man 1
marriage 1
married 1
maths 1
meets 1
minutes 1
most 1
mother 1
mr 1
much 3
mum 1
mutual 1
my 1
named 2
nearest 1
new 2
next 1
nicknamed 1
not 4
notsosuccessful 1
of 7
off 3
often 1
on 6
one 1
ones 1
other 2
out 4
over 1
panics 1
passes 1
pay 1
pe 1
peace 1
persistent 1
place 2
position 1
pressured 1
proceeds 1
process 1
prue 25
prues 3
public 1
pulls 1
put 1
questions 3
rax 11
raxberryrax 1
raxs 3
reading 1
really 1
recover 1
regular 1
relationship 1
revolves 1
risk 1
running 2
sarah 2
says 2
scared 1
scary 2
school 10
score 1
secret 1
see 1
seeing 1
seen 1
selling 1
send 2
sent 2
set 1
share 1
shares 1
she 13
shop 1
shows 1
sick 1
silly 1
sister 1
skills 1
slag 1
slightly 1
so 2
some 1
son 1
soon 2
speaking 1
spending 1
spots 1
spotted 1
starts 3
stiff 1
still 2
stop 1
story 1
stroke 1
struggle 1
student 1
sweet 1
sweetheart 1
system 1
talk 2
talking 1
teacher 2
teaching 1
tell 1
telling 1
tells 2
temper 1
temperamental 1
that 11
the 25
their 4
them 4
themselves 1
then 4
there 1
therefore 1
they 7
things 1
thinking 1
thinks 2
though 1
time 1
to 35
toby 2
tobys 1
together 2
tony 1
trick 1
tries 1
troubles 1
trying 2
tuition 1
uncooperative 1
undergarments 1
undies 1
unhappy 1
up 2
used 1
very 5
visit 1
way 1
wentworth 1
were 1
when 2
where 3
which 1
while 7
who 7
wife 1
will 4
with 8
without 1
woman 1
worked 1
worthwhile 1
writes 1
yet 1
you 1
young 2
youre 1
