5432223
/m/0dllx7
/m/0dllx7
Ethel Turner
1894
1880s 1
a 8
according 1
accordingly 1
acquaintance 1
affects 1
after 3
alan 2
aldith 3
allow 1
allowed 1
an 2
and 16
appearance 1
are 1
army 1
arrange 1
as 1
asking 1
assist 1
astray 1
at 3
away 4
back 2
barn 1
barracks 1
be 3
becoming 1
before 1
believes 1
blue 1
boarding 1
body 1
broken 1
brother 1
burying 1
but 2
by 4
can 2
captain 3
catch 1
changed 1
character 1
child 1
children 7
comes 2
conceal 1
crush 1
day 2
days 1
death 1
despite 1
dies 1
dinner 2
discipline 1
discovers 1
each 1
embarrassed 1
embarrasses 1
entertain 1
esther 3
example 1
exert 1
experience 1
fact 1
faints 1
fallen 1
falls 1
family 1
far 1
fashions 1
father 2
fetched 1
for 5
from 6
general 1
get 1
girl 2
go 1
goes 1
guests 2
harmed 1
has 2
having 1
havoc 1
he 4
health 1
help 1
her 13
hiding 1
him 3
his 3
home 5
however 2
illhealth 1
implying 1
improve 1
in 6
inadequate 1
influence 1
instead 1
interrupting 1
invited 1
is 6
it 1
judy 7
later 1
life 1
little 3
live 1
love 1
make 1
meet 1
meeting 1
meg 5
men 2
military 1
more 1
mountains 1
never 1
not 1
note 1
of 8
older 2
on 5
one 2
orders 1
ostensibly 1
other 1
own 1
parents 2
part 1
particular 1
picnic 2
pip 1
plans 1
poilt 1
possible 1
prank 1
presence 1
promised 1
property 2
protects 1
rather 1
realises 1
really 1
recuperation 1
regrets 1
remain 2
remaining 2
reproaches 1
result 1
returns 3
ringbarked 1
ringleader 1
runs 1
rushes 1
same 1
school 3
send 1
sent 1
seven 1
several 1
she 6
sheep 1
siblings 1
slightly 1
sobered 1
some 1
station 1
stepmother 1
suffering 1
sweet 1
sydney 2
than 1
that 4
the 26
their 7
them 1
they 2
things 1
threatens 1
tightlaced 1
title 1
to 18
treasure 1
tree 2
tries 2
tuberculosis 1
twenty 1
two 1
under 1
understanding 1
understood 1
unhappy 1
until 1
visit 1
waist 1
walk 1
walking 1
was 1
when 1
wherever 1
while 2
who 3
with 2
woolcot 2
wreak 1
yarrahappini 1
yearold 1
young 3
youngest 1
