25657606
/m/09v7wp5
/m/09v7wp5
Colum McCann
2009-06-23
110 1
174 1
a 3
ability 1
allegory 1
an 1
and 1
around 1
as 2
author 1
back 1
balance 1
basic 1
book 4
bringing 1
central 2
city 1
clearly 1
courtroom 1
description 1
down 1
earthly 1
even 1
event 1
events 1
feat 1
fictional 1
find 1
first 1
for 2
greatest 1
groundwork 1
halfway 1
human 1
in 3
is 3
its 1
laid 1
lays 1
lines 1
meaning 1
more 2
new 1
of 9
only 1
opening 1
out 1
pages 1
performed 1
petit 1
philippe 1
plot 1
point 1
prostitute 1
real 1
reallife 1
revealed 1
revolves 1
second 1
sensational 1
serve 1
serves 1
sort 2
stories 1
story 1
the 15
therefore 1
this 2
through 1
tightrope 1
to 2
towers 2
tragedies 1
trial 1
twin 2
two 1
up 1
walk 1
which 2
york 1
