9846147
/m/02ptqt0
/m/02ptqt0
Mark Helprin
1996
10year 1
a 21
able 1
abound 1
about 1
accept 1
act 1
adult 1
age 1
aid 1
air 1
all 3
also 1
an 4
and 16
angel 2
another 1
appearance 1
are 1
arms 1
arrives 1
as 9
astrahn 1
at 1
atmosphere 1
audience 1
bake 1
bakerslave 1
battle 1
be 3
beautiful 1
before 1
befriends 1
begins 1
beloved 1
below 1
black 1
book 1
books 1
bowing 1
brave 1
burning 2
by 4
came 1
capital 1
cartwheels 1
center 1
character 1
child 3
children 1
citizens 1
city 10
come 1
comet 1
considered 1
continues 1
country 1
couple 1
crow 1
cry 1
curler 1
damavand 1
daughter 1
death 1
dies 1
dimmed 1
does 2
doors 1
douses 1
draped 1
end 2
enormous 2
events 2
eventually 1
evil 1
example 1
face 1
fairy 1
fell 1
final 2
find 1
finds 1
fire 1
flashback 1
flew 2
foe 1
for 3
forces 2
form 1
former 2
from 3
frosty 1
general 1
girl 5
given 1
ground 1
has 1
he 3
hears 1
heir 2
her 8
heralded 1
heroine 1
him 1
himself 2
his 8
how 1
humor 1
i 1
ill 1
imaginative 1
imperial 1
in 18
including 1
interestingly 1
into 1
inwardly 1
is 7
it 1
itself 1
job 1
kerosene 1
kingdom 2
knowing 1
lake 2
leader 1
lights 1
like 3
live 1
long 1
look 1
lover 1
loyalists 1
made 1
magic 1
main 1
mask 1
match 1
midair 1
million 1
motion 1
name 1
near 1
never 2
not 4
notorincus 2
novel 4
number 1
oath 1
obedient 1
odds 1
odette 1
of 14
old 1
on 1
open 1
or 1
outspread 1
outwardly 1
palace 3
people 2
period 1
prince 1
proper 1
prophetic 2
protagonist 1
protect 1
queen 3
quest 1
question 1
realized 1
rebellion 1
rebellious 1
recalls 1
regain 1
remove 1
renowned 1
restoration 1
restored 1
return 2
reveals 1
rightful 1
robes 1
sacrifice 1
say 1
scarred 1
season 1
selflessness 1
sequence 1
series 1
she 3
should 1
single 1
slaveofaslave 1
slipped 1
slow 1
snows 1
soldier 1
soldiers 1
square 1
story 3
strength 1
sun 1
swan 2
tactician 1
tail 1
tale 1
tells 1
ten 1
terrifying 1
that 9
the 52
their 2
therefore 1
these 1
they 1
this 3
three 1
throne 2
throws 1
to 14
told 1
took 1
tower 1
towering 1
trailing 1
trilogy 1
tumbling 1
tutor 3
twisted 1
unaware 1
unborn 1
united 1
unnamed 2
until 1
usurped 1
usurper 3
veil 1
victory 1
waffletorte 1
waiting 1
wake 1
was 1
watch 1
wheeling 1
when 1
whether 1
which 1
while 2
who 2
whose 1
will 2
wings 1
winter 4
with 3
without 2
wore 1
yam 1
young 1
youthful 1
