14068467
/m/03csktj
/m/03csktj
Walter Moers

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
12yearold 1
a 4
after 1
alive 1
all 1
amidst 1
and 3
as 1
attempts 1
aventure 1
become 1
begins 1
can 1
captain 1
catches 1
clutches 1
conspicuous 1
crazy 1
creativity 1
crew 1
damsel 1
deadly 1
death 3
dementia 1
dewilde 1
dice 1
die 1
distress 1
dragon 1
durch 1
escape 1
even 1
everyone 1
evil 1
except 1
face 1
finally 1
for 1
forest 1
from 1
giants 1
gives 1
gustave 4
he 3
him 2
himself 2
his 3
impossible 1
in 3
is 1
itfolle 1
just 1
killed 1
like 1
make 1
meet 1
meets 1
monsters 1
monstrous 1
most 1
must 1
nacht 1
nella 1
night 1
notte 1
of 6
one 1
or 1
order 1
own 1
play 1
reise 1
rescue 1
rest 1
seemingly 1
servant 1
siamese 1
siblings 1
sister 1
six 2
soul 2
spiritsencounter 1
stay 1
storm 1
story 1
tasks 1
the 8
to 2
tornado 1
twins 1
up 1
us 1
viaggio 1
when 1
who 1
wicked 1
will 1
win 1
wit 1
with 2
