3321416
/m/095ppd
/m/095ppd
Antonia Forest
1959-12
a 13
about 2
act 1
acting 1
agree 1
agrees 2
along 1
amazed 1
and 14
ann 1
are 1
at 3
back 4
be 4
because 2
been 2
before 1
behind 1
being 1
better 1
blood 1
boarding 1
boy 2
breakfast 1
but 2
by 1
can 2
cannot 1
captain 1
carved 1
causing 1
certain 1
christmas 2
clearly 1
cold 1
comfortably 1
consolation 1
convinced 1
daks 2
dark 1
day 2
desperately 1
despite 1
dirge 1
disappears 1
divorced 1
does 1
doesnt 1
dominated 1
downs 1
embarrassment 1
enemy 1
enjoy 1
esther 3
everyone 1
expected 1
fact 1
falcon 1
falls 1
family 1
few 1
fill 1
find 2
finds 3
first 1
fit 1
for 4
frewen 1
friends 1
from 1
fun 1
fuss 1
gabriel 1
games 1
getting 1
ginty 1
girl 1
given 1
go 1
gone 1
grand 1
grandmother 1
halfterm 1
happened 1
has 4
have 2
her 6
his 1
home 1
how 1
however 2
huge 1
hurts 1
in 8
including 1
into 1
is 12
jewish 1
junior 1
lawrie 7
leaving 2
left 1
leg 1
less 1
life 1
lives 1
lois 1
long 1
look 1
lykewake 1
mainly 2
makes 1
manage 1
marlow 2
mary 1
match 2
merlin 1
minster 2
miranda 2
most 1
mother 2
mrs 2
much 2
netball 2
new 2
nicola 11
noone 1
not 2
note 1
now 3
of 7
off 2
old 1
on 3
out 1
over 1
parents 1
part 2
patrick 3
place 1
plan 1
play 6
possible 1
pretend 1
prevent 1
procession 1
production 1
puppy 1
quite 1
realise 1
realises 1
recites 1
respectively 1
returning 1
rid 1
ride 1
sanger 1
scale 1
school 5
sent 1
she 14
shepherd 2
shocked 1
should 1
singing 3
sneak 1
so 2
soloist 1
solos 1
solution 1
somehow 1
spare 1
sparrow 1
sprog 1
staff 1
station 1
supposed 1
taking 1
team 1
term 1
than 1
that 6
the 23
their 2
then 1
there 2
they 1
think 1
thinks 1
this 4
tim 1
time 1
to 12
too 2
train 1
treachery 1
visit 1
visiting 1
wade 1
wanted 1
way 1
weeks 1
what 1
when 4
which 1
while 1
who 1
will 3
win 1
with 1
work 1
worried 1
