5908106
/m/0fc_f1
/m/0fc_f1
Sam Shepard

a 4
about 1
ahead 1
an 1
and 6
are 2
as 1
azusa 1
back 1
begs 1
big 1
blackmail 2
bucks 1
california 1
carter 4
cecilia 1
clerk 1
decides 1
drunk 1
follow 1
for 5
friend 1
get 1
grocery 1
he 2
heads 1
him 1
his 1
in 3
is 1
jumps 1
kentucky 2
long 1
lures 1
make 1
married 1
material 2
named 1
odds 1
off 1
official 1
on 1
original 1
play 1
plodders 1
pomona 1
prize 1
pull 1
racers 1
racing 1
rosie 3
scam 2
sell 1
set 1
simpatico 1
stallion 1
steals 1
story 1
substituting 1
successful 1
the 4
their 1
they 1
to 4
twenty 1
uncovers 1
up 1
vinnie 4
wallet 1
when 2
where 1
who 1
winners 1
winning 1
with 1
years 1
youths 1
