401482
/m/023xts
/m/023xts
George Eliot
1860
10 1
13 1
15 1
1820s 1
1832 1
a 26
about 1
act 1
advantage 1
after 1
again 1
against 2
all 1
although 1
an 4
and 42
ann 1
antipathy 1
any 1
aptitude 1
are 4
argue 1
arrival 1
as 5
assumed 1
at 3
attentions 1
attracted 1
attraction 1
autobiography 1
away 1
back 1
bankruptcy 1
be 2
because 1
become 1
before 2
begins 1
beings 1
between 2
biblical 1
board 2
boat 5
bond 1
book 4
both 4
brief 3
broader 1
broken 1
brother 3
business 1
but 2
by 5
capsizes 1
case 1
central 1
childhood 1
christ 1
cite 1
city 1
clandestine 1
clashes 1
close 1
coax 1
coloured 1
come 1
complex 1
complication 1
compounded 1
considered 1
constitute 1
contained 1
continues 1
contracted 1
contrived 1
conversing 1
cousin 1
covered 1
crises 1
cultured 2
deane 3
death 3
deaths 1
debts 1
dependent 1
desire 1
desires 1
despise 1
details 1
deus 1
developed 1
dies 1
differences 2
discovers 1
disgrace 1
distance 1
divided 1
do 1
dorlcote 1
down 2
drown 1
during 3
duties 1
each 2
either 1
eliot 1
eloquent 1
embrace 1
ends 1
england 1
enjoys 2
enter 1
epigraph 1
estate 1
evans 1
event 1
events 1
eventually 1
ex 1
exile 1
experience 2
experienced 1
experiencing 1
family 3
familys 1
father 4
fellow 1
fervor 1
fianc 1
fictional 2
find 2
finds 1
fled 1
floating 1
flood 3
floods 1
floss 3
for 11
forces 1
foreshadowing 1
forge 1
forgive 1
forgiveness 1
former 1
founded 1
frequent 1
friend 1
friendship 3
from 3
further 1
gains 1
george 2
get 1
giving 1
go 1
goes 1
good 1
growing 1
guest 3
had 1
hails 1
have 2
having 2
he 8
heartfelt 1
help 1
henry 1
her 23
herself 1
highlight 1
him 2
his 6
historical 1
holds 1
holland 1
home 1
hopes 1
hours 1
however 1
human 1
hunchbacked 1
idealism 1
imitation 1
immediately 1
impoverished 1
in 23
includes 1
including 1
inconsequential 1
intellectual 4
intense 1
intensify 1
into 1
intrigues 1
invites 1
is 11
isolated 3
it 2
its 2
judgments 1
junction 1
kempiss 1
languishes 1
leaves 1
leisure 1
lengthy 1
less 1
letter 1
lewes 1
life 3
lincolnshire 1
lives 2
long 2
longer 1
loss 1
love 5
lucy 8
machina 1
maggie 15
maggies 7
makes 2
man 1
manages 1
marriage 1
married 2
mary 1
meanwhile 1
measure 1
meets 1
mill 3
minor 1
moment 1
more 3
most 2
moving 1
mr 3
mudport 3
music 1
napoleonic 1
narrative 1
natural 1
nature 1
near 1
neglected 1
negligent 1
never 1
next 1
no 1
not 2
novel 4
number 1
occurrence 1
of 20
ogg 3
oggs 1
old 2
older 1
on 5
other 2
out 1
outcast 1
outlet 1
parent 1
part 1
partially 1
pass 1
passes 1
passing 1
past 3
period 3
philip 11
philips 3
pity 1
place 2
playing 1
pledge 1
poor 1
pragmatic 1
probably 1
professions 1
prominent 1
proposes 1
provides 1
pupil 1
putting 1
question 1
rancorous 1
rational 1
recapture 1
reconciled 1
references 2
reflecting 1
reform 1
reintroduced 1
rejects 1
rekindled 1
relationship 6
relationships 1
renewed 1
renounce 1
renounces 1
renunciation 1
repay 1
represents 1
rescue 1
reserved 1
resident 1
restoring 1
results 1
reunion 1
ripple 1
river 5
role 1
romantic 2
roof 1
roughly 1
rowing 1
school 1
secretly 1
sends 1
sensitive 1
serve 1
set 1
sets 1
several 1
she 12
shelter 1
short 1
sick 1
significant 1
sister 3
socialite 1
socially 1
some 1
spans 1
spirituality 1
spurred 1
st 4
state 1
stay 1
stephen 11
story 1
struggled 1
struggles 1
substantial 1
success 1
suitor 1
support 1
taken 1
takes 2
telling 1
tender 1
tested 1
that 3
the 56
their 6
them 1
themselves 1
they 6
this 4
thomas 1
those 1
threads 1
through 3
throughout 1
throw 1
thus 1
tired 1
to 22
together 2
tom 9
toms 3
too 1
trip 2
tulliver 4
tullivers 2
two 2
unconditional 1
under 1
until 1
untimely 1
unwittingly 1
up 2
upon 1
various 1
view 1
village 2
vivacious 1
wakem 2
wakems 3
walks 1
wars 1
was 2
wasted 1
waters 1
way 1
weariness 1
welcome 1
well 1
were 2
what 1
when 6
where 1
which 5
while 3
who 2
whom 1
will 1
wishes 1
with 16
woods 1
world 2
years 4
yet 1
young 1
