13422939
/m/03c4v_h
/m/03c4v_h
David Liss
2003-03
0 2
1500 1
2000 1
3000 1
a 47
able 1
about 5
according 1
accuses 1
acquaintance 1
acquieces 1
acting 1
action 1
actions 1
actually 2
addition 1
advances 1
advises 1
affairs 2
after 3
against 2
agents 3
agrees 1
alferonda 7
all 2
almost 1
along 1
alonzo 1
also 13
amounts 1
amsterdam 6
an 8
and 63
angered 2
animosities 1
annetje 3
another 3
antagonistic 1
anticipation 1
antonia 1
any 1
anything 1
appalled 1
approaches 1
ardently 1
are 6
argument 2
around 2
arrange 1
arrangement 1
arranges 2
arrives 1
arriving 1
as 8
ashkenazi 1
asking 1
asks 1
assist 1
at 6
attempt 1
attends 1
attractive 1
avoid 1
aware 1
away 1
baby 2
back 3
backing 1
backs 1
bankruptcy 1
barrels 3
based 1
basement 1
be 2
bean 1
beans 1
beaten 1
beating 1
before 4
behalf 1
behind 1
being 2
believes 2
benefactor 1
best 1
betraying 1
between 2
bids 1
bowls 1
boy 2
brandy 2
brilliantly 1
broker 3
brokers 1
brother 2
brotherinlaw 1
brothers 1
but 10
buy 1
by 14
called 3
catholic 2
caught 1
causes 1
cellar 1
chance 1
characterful 1
charge 1
charges 1
charming 1
chases 1
cherem 1
choose 1
city 1
claims 1
close 2
coffee 12
combination 2
comes 4
comfort 1
comings 1
commercial 1
commodity 1
company 1
complicating 1
complication 1
conclude 1
condition 1
confident 1
confirms 1
consequences 1
consider 1
continually 1
controls 2
corner 1
council 1
countries 1
couple 1
courage 1
cover 2
creating 1
creditors 1
crucial 1
cup 1
current 2
currently 2
damhuis 1
damp 1
danger 1
daniel 8
daughter 1
day 6
dealt 1
debt 1
debts 2
deceives 1
deceiving 1
delay 1
delivered 1
delivery 1
demands 2
deteriorating 1
different 1
difficulties 1
disastrously 1
discovered 1
distance 1
distaste 1
divorce 1
do 1
does 3
domestic 1
door 2
down 1
drink 2
drunk 1
during 1
dutch 3
dutchman 1
dutchmen 2
early 1
east 1
embrace 1
encounters 3
enhanced 1
escape 1
evade 1
even 1
exchange 1
excommunicated 1
excommunication 1
exile 1
eye 1
fact 1
failed 1
faint 1
faith 1
falling 1
family 1
fat 1
father 1
favoured 1
favours 1
fearing 1
feels 1
fifty 1
finally 3
financial 3
find 1
finds 3
first 1
five 1
flagrante 1
fled 1
flirt 1
floods 1
floor 1
following 1
for 17
forbidden 1
forget 1
formal 1
former 2
fortunately 1
frenchman 1
friend 2
friends 2
friendship 1
from 5
front 1
full 1
future 1
game 1
geertruid 11
gentiles 2
get 1
girl 1
given 1
gives 2
goes 1
goings 1
gone 1
goodwife 1
grant 1
grinding 1
ground 1
guilders 4
hair 1
hands 1
hannah 14
has 7
hatched 1
have 6
having 1
he 31
head 1
heat 1
helped 2
helping 2
hendrick 3
her 17
high 1
him 22
himself 2
his 36
hold 1
holdings 1
home 1
hot 1
house 5
however 1
huge 1
hundred 1
husband 1
iberian 1
idea 2
if 1
in 27
incredibly 1
india 1
informed 1
informing 1
informs 5
initial 1
inquisition 1
instructed 1
instructions 1
intimately 1
invested 1
is 46
isiah 1
it 4
its 1
jew 2
jewels 1
jewish 5
jews 2
joachim 9
just 2
keep 1
knows 1
later 1
latter 1
lead 1
leads 1
learns 3
leaves 1
leaving 2
left 1
letters 2
lienzo 1
lies 1
life 1
like 1
little 1
living 3
loan 3
local 1
lock 1
looking 1
loss 1
lost 1
lowers 1
maamad 2
made 3
maid 3
maintained 1
making 3
man 2
managed 1
manages 2
manipulation 1
marital 1
market 3
marriage 1
marry 1
mary 1
matters 1
meeting 3
meets 1
mental 1
merchant 1
merchants 1
miguel 37
mixed 1
mixing 1
moment 1
money 3
monopoly 1
more 4
much 1
murder 1
named 1
needs 1
new 1
next 1
ninety 1
not 1
now 7
nunes 5
observe 1
obtain 1
of 33
off 4
offence 1
offends 1
offers 1
official 1
offload 1
oil 1
on 8
one 4
oneday 1
only 3
origins 1
other 1
out 6
outside 1
over 5
overseas 1
owes 2
own 4
paid 1
parido 13
parnass 1
past 1
pay 1
payment 2
personal 1
physical 1
pieter 1
pig 1
plan 1
planned 1
pleases 1
plight 2
poorer 1
portuguese 3
positive 1
possibilities 1
powder 1
powerful 1
powerless 1
pregnant 1
present 1
press 1
pretty 1
price 5
primarily 1
problems 1
promises 1
prosperous 1
pub 1
purchaser 1
purchases 1
purchasing 1
pursued 1
pursuer 1
pushes 1
puts 1
rather 1
reaction 1
real 1
receive 1
receives 1
recognising 1
reconciliation 1
regain 1
remain 1
renowned 1
result 3
retribution 1
return 2
returning 1
returns 1
revealed 1
reveals 1
revenge 1
revolves 1
ricardo 3
rich 1
righthand 1
rise 3
rivalry 1
room 1
salt 1
same 1
samuel 1
say 1
says 1
scheme 1
secret 1
secretly 3
secrets 1
securely 1
see 1
seeks 1
selfsame 1
sell 2
send 1
sensual 1
sephardic 1
service 2
set 1
she 15
shipment 2
show 1
simple 1
since 1
situation 1
small 1
so 2
solomon 1
solvency 1
some 7
son 1
soured 1
spent 1
spots 1
spurned 1
stages 1
staggered 1
start 3
starts 3
steadily 1
steaming 1
strengthen 1
struck 1
successful 1
sugar 2
summoned 1
superior 1
switches 1
sympathy 1
take 1
taken 1
takes 2
talking 1
talks 1
tastes 1
tavern 2
tells 3
than 2
that 17
the 59
their 9
them 1
then 4
there 3
they 4
thieves 1
things 1
think 1
this 4
threatening 1
threatens 2
ties 1
time 1
to 61
towards 1
trade 6
trades 1
trading 4
transgression 1
trickery 1
trouble 1
tudesco 1
turns 1
two 1
unforthcoming 1
unhappy 1
unintentionally 1
until 1
unwanted 1
up 6
upfront 1
use 1
various 1
very 1
violently 1
visits 1
waagenaar 1
wants 1
warehouse 1
warning 1
was 10
water 1
way 2
wealthy 1
weighing 1
whale 1
whaleoil 1
what 1
when 3
which 7
whilst 1
who 8
whole 1
whom 1
whore 1
whose 1
widow 1
wife 3
will 4
wine 1
wish 1
with 20
woman 1
word 1
worse 1
wrong 1
young 2
younger 1
