2780141
/m/0826cr
/m/0826cr
Larry Niven
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
abducts 1
about 1
above 1
acquire 1
after 1
also 1
altitude 1
among 1
an 2
and 4
are 1
as 5
atmosphere 1
became 1
become 1
been 1
behind 1
both 1
brown 1
built 2
by 1
capable 1
cavity 2
centers 1
chmeee 2
contained 1
contains 1
control 4
course 2
create 2
creating 1
creators 1
defense 1
destroying 1
earlier 1
earth 1
embedded 1
everything 1
evolved 1
exploration 3
features 1
field 1
finding 1
finds 1
first 1
flare 1
for 1
forth 1
foundation 1
fullsize 1
gas 1
generate 1
great 1
grid 1
grow 1
had 1
has 1
have 2
he 1
help 1
him 1
hindmost 2
his 1
hollow 1
hominid 1
hopes 2
human 1
in 12
include 1
instability 1
is 2
it 2
its 1
known 2
kzin 1
kzinti 1
laser 1
leader 2
learn 2
learns 1
led 1
left 1
living 1
located 2
louis 2
magnetic 1
main 1
manipulate 1
many 1
map 3
maps 2
mars 4
material 1
may 1
maze 1
meet 1
meteor 1
more 1
nessus 1
novel 3
number 1
oceans 1
of 18
on 5
one 1
or 1
order 2
other 1
others 1
pak 1
part 1
party 2
path 1
plants 1
plot 1
position 1
powerful 1
previously 1
protectors 2
puppeteer 1
puppeteers 1
rarefied 1
reacquire 1
recentlydeposed 1
repair 1
ringworld 11
room 3
rooms 2
saving 1
scrith 1
set 1
solar 1
space 4
speakertoanimals 1
species 1
such 1
sun 1
superconductor 1
support 2
surface 1
system 2
technology 1
teela 1
that 4
the 41
their 1
these 1
they 2
this 2
thousands 1
to 9
travels 1
treeoflife 1
twenty 1
under 1
uses 2
various 1
vast 1
was 1
well 1
were 1
what 1
where 1
which 2
who 2
will 1
wirehead 1
worlds 1
wu 1
years 1
