3713371
/m/09ws61
/m/09ws61
Conn Iggulden
2006-01-02
{"/m/0mz2": "Alternate history", "/m/0hwxm": "Historical novel"}
a 19
actions 1
acts 1
advisors 2
afraid 1
after 2
alexandria 2
ally 1
along 1
an 4
and 21
anger 3
announce 1
another 1
anthony 1
are 2
armies 1
army 4
as 5
asia 1
asks 1
assassinated 1
at 2
attempt 1
avenge 1
aware 1
back 1
banished 1
battle 1
be 2
been 3
before 1
begins 2
being 1
besieging 1
betray 1
betrayal 1
border 1
boyking 1
breaks 1
brother 1
brutus 5
by 5
cabera 1
caesar 20
caesarion 1
campaign 1
captures 1
catches 1
chance 1
change 1
character 1
chase 1
cisalpine 1
civil 1
cleopatra 3
coming 1
commanding 1
companion 1
consequently 1
consul 1
controlled 1
cornelius 1
crassus 2
create 1
crossed 1
date 1
death 3
declared 1
defeat 1
defect 1
defended 2
demands 1
dictator 1
dictatorship 1
died 2
disgust 1
distraction 1
does 1
during 1
egypt 3
emerging 1
empire 1
encounters 1
end 1
enemy 1
engages 1
enter 1
eventually 2
expand 1
face 1
failed 1
fearing 1
field 3
finally 1
finds 1
fire 1
first 2
flees 2
following 2
for 6
force 1
forces 3
forcing 1
forgives 1
fort 1
free 1
friend 4
from 1
gallic 1
gaul 2
general 1
governor 1
greece 2
had 6
has 2
have 2
having 1
he 8
head 1
heart 1
help 1
her 3
here 1
him 6
his 16
hold 1
house 2
however 1
ides 1
ill 1
illness 1
immediately 1
in 14
including 1
increasingly 1
injured 1
installs 1
introduced 1
is 7
it 2
jaws 1
joins 1
journey 2
julius 1
killed 3
king 3
kings 1
lands 1
larger 1
leads 1
leaves 1
led 1
legion 2
legions 1
lifelong 2
likely 1
lines 1
major 1
majority 1
make 2
man 1
many 2
march 1
marcus 2
mark 1
match 1
meet 1
mild 1
minor 1
missing 1
mistakes 1
most 1
move 1
much 4
nephew 1
nightraid 1
no 1
not 1
number 1
octavian 1
of 29
old 1
on 3
one 1
palace 1
pardons 1
parthia 1
pharsalus 1
planning 1
plans 1
plot 1
pompey 10
port 1
possible 1
possibly 1
presented 1
promised 1
propaganda 1
prophesized 1
provinces 1
ptolemy 5
public 1
queen 1
raids 1
reinforced 1
reintroduction 1
release 1
released 1
representatives 1
republic 1
resistance 1
return 1
returning 2
rex 1
rexthey 1
roman 4
romance 1
rome 4
rout 1
royal 1
rubicon 1
rule 1
senate 1
senators 1
she 1
shortly 1
siege 1
single 1
sister 1
sit 1
small 1
son 1
south 1
southern 1
speed 1
starting 1
state 1
stuns 1
sulla 1
supply 1
surprise 1
surrender 1
swords 2
takes 3
that 2
the 46
theatre 1
them 1
then 3
they 1
this 4
throne 1
time 1
to 25
together 1
toward 1
towns 1
trained 1
trap 1
unhappy 1
unleashes 1
veterans 2
victor 1
war 2
wars 1
way 1
well 1
were 2
when 1
which 1
while 1
whilst 1
who 5
will 1
with 7
without 1
world 1
would 1
xiii 1
years 1
