205952
/m/01d6hd
/m/01d6hd


{"/m/06n90": "Science Fiction"}
10000 1
15000 1
20000 1
21st 1
25000 1
5000 1
a 4
abused 1
ad 5
after 2
age 4
ai 1
all 5
amid 1
an 2
anarchy 1
and 6
appeared 1
are 1
as 3
awakes 1
away 1
be 1
become 1
being 1
book 1
boring 1
brain 2
but 2
by 2
came 1
can 1
cannot 1
cell 1
centuries 1
century 1
choice 1
city 1
civilization 1
comfortable 1
computer 1
concepts 1
consumerism 1
cooperating 1
corners 1
cosmos 1
cradletograve 1
decades 1
desktop 1
discover 1
dismissed 1
dominated 1
dreams 1
each 2
easily 1
easy 1
encounters 1
experience 1
experiment 1
far 1
fare 1
feels 1
find 1
for 3
freedom 1
frightfully 1
fullimmersion 1
genetic 1
global 1
great 1
green 1
had 3
happen 1
has 1
have 1
he 1
heralded 1
himself 1
his 2
human 1
humanity 2
if 1
immortality 2
immovable 1
implosion 1
in 5
incapable 1
individual 1
interpersonal 1
is 4
it 3
its 1
itself 1
knowledge 1
known 1
knows 1
later 1
leading 1
license 1
life 1
like 1
littered 1
lives 1
living 1
mankind 1
manufacturing 1
many 1
matrix 1
meaning 1
might 1
mobile 1
molecular 1
most 1
nearly 1
need 1
needs 1
no 1
not 1
nothing 1
novel 1
now 1
of 10
only 1
other 1
outnumber 1
own 1
people 3
peoples 1
popularized 1
presaged 1
procedure 1
program 1
provided 1
pulp 1
purpose 2
quest 1
ready 1
reality 1
realizes 1
recently 1
rereleased 1
resulting 2
revolution 1
save 1
scatters 1
scientists 1
secret 1
seeking 1
sees 1
sexual 1
sleep 1
sleeping 1
small 1
society 1
sought 1
staggers 1
stagnant 1
standard 1
stem 1
stop 1
strong 1
super 1
superfluous 1
supervision 1
surgical 1
terrifying 1
thanks 1
that 2
the 19
their 2
therapies 1
these 1
this 1
through 1
to 5
toward 1
virtual 1
warming 1
wars 1
was 1
waste 1
were 1
what 2
when 1
where 1
will 1
winters 1
without 1
world 2
worldview 1
wreckage 1
