4305122
/m/0bw48k
/m/0bw48k
Richard Baker
2003-05-01
a 12
about 2
abyss 2
acquire 1
advice 1
after 3
agrach 1
alert 1
almost 1
an 2
and 16
any 1
are 4
army 3
as 1
astral 1
attack 1
away 1
back 2
baenre 4
barrier 2
battle 1
battles 1
be 1
become 1
becomes 1
been 1
behind 1
beholder 1
believes 1
black 1
book 2
break 1
but 2
by 2
can 1
cant 1
captured 1
ched 1
city 4
come 1
commander 1
consult 1
contact 1
council 1
days 1
decide 2
decision 1
deities 1
destroy 1
destroyed 1
devils 1
distance 1
documents 1
does 1
domain 2
drannor 1
drow 4
duel 1
duergar 7
during 1
dyrr 2
elves 1
emerging 1
encounter 1
end 1
ensuing 1
entails 1
escape 2
escapes 1
eventually 2
evident 1
face 1
far 1
female 1
ferocity 1
fights 1
finally 1
flee 1
for 5
force 1
form 1
fought 1
found 1
friend 2
from 2
get 5
give 1
glass 1
god 2
godly 1
gods 1
going 1
great 1
gromph 3
group 3
guardian 1
halisstra 1
handle 1
happened 1
has 3
have 1
he 1
help 1
him 2
his 1
home 1
house 2
however 1
huge 2
hune 1
if 2
impending 2
imphraezl 1
imprisons 1
in 11
informs 1
inspect 1
intense 1
invasion 1
is 10
it 3
item 1
its 1
journey 5
kill 1
know 1
knows 1
last 2
learn 1
learns 1
leaving 1
lich 1
lichdrow 1
limps 1
lloth 4
lord 1
made 1
magical 1
makes 1
materializes 1
materilizes 1
matron 1
may 1
means 1
meanwhile 1
melarn 1
menzoberranzan 3
minor 1
mission 1
mizzrym 1
much 1
must 2
myth 1
nasad 1
need 1
next 1
nimor 2
not 2
nothing 1
obtain 1
of 19
on 1
other 1
own 1
part 1
party 5
passports 1
pharaun 1
phase 1
physical 1
pillars 1
plans 1
portal 1
posing 1
power 2
powerless 1
prevails 1
priest 6
queen 1
quenthel 1
quest 1
realizes 1
rests 1
returns 1
ruling 1
rushes 1
sanctuary 1
search 1
see 1
selvetarm 1
send 1
series 1
set 1
shadow 1
shaken 1
shape 1
slow 1
so 1
some 1
sphere 1
spider 2
stops 1
strikes 1
stronghold 1
stunned 1
such 1
surface 1
that 5
the 49
their 2
them 4
themselves 1
there 1
these 1
they 11
thing 1
third 1
this 4
through 4
thus 1
to 29
token 1
told 1
too 1
trap 1
travel 2
triel 1
troops 1
underdark 1
unharmed 1
until 1
up 2
used 1
utterly 1
valas 4
vhaeraun 1
vhaerun 2
visage 2
walk 1
wants 1
war 1
were 1
what 2
when 2
where 2
while 1
will 1
with 2
woe 1
would 1
