7661594
/m/02684vr
/m/02684vr
Torey Hayden
1980

1 1
10000 1
14yearold 1
15 1
184 1
2yearold 1
4 1
6 2
7 2
700 1
8 2
a 21
abandonment 2
abuse 1
abusive 1
according 1
after 4
afterward 1
afterwards 1
age 1
aggressive 2
all 2
also 1
an 1
and 31
angry 1
another 1
anton 1
anyone 1
aquarium 1
are 1
around 1
as 2
assistant 1
assists 1
at 11
autistic 1
back 1
bath 1
bathroom 1
be 4
because 4
began 1
begin 1
beginning 2
behavior 2
behind 1
bleeding 1
blind 2
blocks 1
blood 1
boyfriend 1
bring 1
brother 1
but 2
buy 1
by 3
california 1
came 1
can 1
carpeted 1
cars 1
case 1
caused 2
chad 2
chair 1
chase 1
child 1
christmas 1
class 7
classes 1
classroom 2
cleaners 1
clothes 1
comes 2
coming 1
condition 1
conference 1
confesses 1
court 1
cut 1
damage 2
darkness 1
day 3
days 2
deal 1
deals 1
defiant 1
did 1
didnt 1
dirty 1
distract 1
do 1
doesnt 1
door 1
dress 1
dresses 1
dust 1
education 1
end 2
enough 1
eventually 2
every 2
experience 1
eyes 1
father 3
feels 1
few 4
finish 1
first 5
focused 1
follows 1
for 9
freddie 1
from 1
get 1
girl 3
given 3
giving 1
goes 1
going 1
goldfish 1
grade 2
group 1
guillermo 1
gymnasium 1
had 3
halfhour 1
handle 1
harder 1
has 4
have 2
he 2
help 1
her 17
high 1
highway 1
his 2
horrified 1
hospital 2
however 2
important 1
improvement 1
in 10
incident 1
inconvenient 1
incredibly 1
infertile 1
instance 1
institution 1
interpreted 1
into 5
introduces 1
iq 1
is 11
issues 1
it 3
jerry 1
jimmie 1
joined 1
joins 1
joy 1
just 1
knife 1
knows 2
lap 1
later 1
lawyer 1
leaving 1
left 1
lived 1
long 1
looking 1
losing 1
lot 1
love 1
loving 1
lunch 2
material 1
max 1
mediums 1
mentally 1
mexican 1
middle 1
migrant 1
misbehaved 1
money 1
months 1
more 1
morning 1
mother 2
mute 1
named 1
narrow 1
neglectful 1
nervous 1
neurological 1
next 1
normal 1
not 2
notices 1
notified 1
obese 1
obsessed 1
ocd 1
of 17
on 4
one 7
only 1
opened 2
or 1
other 2
out 3
owned 1
pale 1
paper 1
participate 1
participating 1
pencil 1
people 1
person 1
personally 1
peter 1
phobias 1
physical 1
pizza 1
plenty 1
point 3
poverty 1
profoundly 1
pushed 1
put 1
rape 1
refuses 4
remains 1
remarkably 1
repair 1
retarded 1
revealed 1
reveals 1
revenge 1
room 2
rushed 1
sarah 1
schizophrenic 1
school 4
scolded 1
seeing 1
seizures 1
selectively 1
sequel 1
set 1
sexual 1
she 15
sheila 26
should 1
showing 1
shown 1
since 1
single 1
sitting 1
sixyearold 1
small 1
smart 1
smell 1
smelly 1
so 2
someone 1
soothes 1
space 1
speak 1
special 1
stabs 1
stacking 1
state 1
stays 1
still 1
students 3
suicidal 1
surgery 1
susannah 1
take 1
takes 3
talented 1
teacher 5
teaching 1
terrified 2
tested 1
that 8
the 39
their 1
themselves 1
then 2
then18yearold 1
there 1
they 1
third 1
this 5
though 1
through 1
thus 1
tiger 1
to 24
too 1
took 1
torey 16
total 1
traumatic 1
tried 1
trip 1
trust 1
twice 1
tyler 1
uncle 1
understanding 1
unprepared 1
up 1
uses 1
vacation 1
vacuum 1
verbally 1
very 1
warning 1
was 2
wash 1
water 2
wear 1
well 1
went 1
were 3
when 3
which 1
while 1
whitney 1
who 5
whole 1
will 1
william 1
win 1
window 1
with 12
work 2
worker 1
worth 1
worthwhile 1
would 1
year 5
