25850948
/m/09v3t1b
/m/09v3t1b

1967
{"/m/02js9": "Erotica"}
1yearold 1
30 1
a 17
aback 1
advances 1
afterwards 2
again 1
agree 1
agrees 1
american 1
an 4
and 14
anonymous 1
another 1
ariane 4
arrive 1
arrives 1
as 1
associate 1
at 5
attach 1
attempts 1
attracted 1
back 2
bangkok 4
be 1
become 1
becomes 1
bed 1
bee 5
been 1
before 1
begin 1
believes 1
between 1
body 1
both 1
boy 1
but 3
by 8
called 1
can 1
chance 1
cheated 1
cocktail 1
come 1
comes 1
comforted 1
community 1
company 1
contacting 1
countess 1
court 1
culminating 1
cured 1
de 1
demonstrate 1
demonstrates 1
den 1
dinner 3
dismisses 1
divorced 1
do 1
does 1
doing 1
driver 1
during 1
embassy 2
emmanuelle 22
encounter 1
encounters 1
engineer 1
englishman 1
eroticism 2
evening 1
expats 1
expounds 1
fellating 1
first 4
flavor 1
flying 1
following 2
for 3
freedom 2
french 2
friend 1
friends 1
friendships 1
from 1
games 1
gay 1
girl 1
going 1
has 3
have 2
having 2
he 3
heartbroken 1
hedonistic 1
her 15
him 1
his 1
home 2
homoerotic 1
hosted 1
house 3
husband 3
idea 1
im 2
immediately 2
in 11
into 1
introduce 1
invite 1
is 9
it 1
italian 1
join 2
joined 1
later 2
love 7
lover 1
make 2
makes 3
marieanne 4
mario 11
married 1
masturbate 1
masturbating 1
meanwhile 2
meet 3
meets 1
men 1
mother 1
naval 1
need 1
needs 1
never 1
new 1
newfound 1
night 1
no 1
nobleman 1
not 1
of 12
offerings 1
offers 2
on 7
only 1
opium 1
opportunity 1
or 1
oral 1
orgasm 1
other 1
out 2
over 1
part 1
parted 1
party 2
penetrates 1
penetrating 1
performing 1
persuade 1
philosophy 1
plane 1
plunge 1
professes 1
public 1
pulled 1
quentin 2
rape 1
reach 1
realizes 1
redheaded 1
regrets 1
rejects 1
removing 1
return 2
rickshaw 1
ride 1
samlo 4
saynes 1
screams 1
seduce 1
seduces 1
series 2
sex 2
sexual 3
she 8
shower 1
since 1
sister 1
slender 1
so 1
squash 1
streets 2
strong 1
take 3
taken 1
takes 1
tea 1
telling 1
tells 1
temple 1
thai 1
that 6
the 27
then 4
they 5
thinks 1
this 3
three 3
through 1
time 2
to 16
together 1
top 1
tries 1
trip 1
true 1
turns 1
two 8
verges 1
visit 1
votive 1
watches 1
way 1
were 1
western 1
when 2
where 1
which 3
while 3
who 2
wife 1
will 2
with 6
woman 1
women 3
yearold 1
younger 1
