154524
/m/0146hq
/m/0146hq
Daniel Defoe
1719
{"/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/05hgj": "Novel"}
10 1
13 1
163 1
164 1
1703 2
1704 2
1705 1
18 2
22 1
270 1
30 1
32 1
37 1
8th 1
a 18
about 1
additional 1
after 1
again 1
all 2
also 1
among 1
an 3
anchored 1
and 19
april 1
archangel 1
archangelsk 1
are 1
argun 1
arguna 1
around 2
arrived 5
arrow 1
as 1
assure 1
at 8
attack 1
attacked 1
attempt 1
august 1
bay 2
be 1
because 1
bedford 1
been 2
beginning 4
being 1
bengal 1
board 1
book 1
border 2
bought 2
brazil 1
buried 1
burned 1
but 4
by 6
calendar 1
called 4
cambodia 1
came 2
can 1
canal 1
cannibals 2
cape 1
carried 1
casualty 1
changu 1
children 1
china 2
chineserussian 1
city 1
civility 1
coast 1
cochinchina 1
cohabitating 1
commander 1
consolidate 1
could 1
couples 1
crew 2
crossed 1
crusoe 9
daughter 1
decade 1
degrees 1
desire 1
did 1
dies 1
directly 1
discovered 1
distemper 1
downs 1
during 1
dwina 1
earlier 1
else 1
empire 1
encounter 1
england 2
english 1
ensuring 1
europe 1
evening 1
eventually 1
except 1
farm 1
february 1
felicity 1
fell 1
finally 2
first 1
following 1
for 3
forced 1
formosa 1
fortified 1
friday 3
from 5
further 1
gates 1
girl 1
go 2
gone 1
good 1
gorodok 1
gzomoys 1
had 3
hague 1
hamburg 1
hanged 1
having 2
he 6
heart 1
help 1
hero 1
hills 1
him 2
his 6
honour 1
hope 1
houses 1
hundred 1
i 2
imagine 1
in 8
including 1
inhabitants 1
into 3
ireland 1
is 1
island 8
it 1
january 2
jerawena 1
july 1
june 1
kamskoy 1
kermazinskoy 1
kilam 1
kirtza 1
known 1
lake 1
landed 1
later 1
latitude 1
law 1
lawrenskoy 1
leadership 1
leagues 1
leave 1
leaves 1
leaving 1
left 1
little 2
london 1
long 3
loss 1
madagascar 1
made 1
mainland 1
making 1
mariners 1
marooned 1
marriage 1
married 1
massacred 1
meet 1
men 1
middle 1
minutes 1
months 1
mouth 1
mutineers 1
nanking 1
native 2
natives 2
naum 1
naun 1
near 4
necessary 1
needed 1
negotiate 1
nephew 1
nerchinsk 1
nertzinskoi 1
nine 2
ningpo 2
no 1
nothing 1
ocean 1
of 28
off 1
old 2
on 12
once 2
one 4
opposed 1
or 3
our 1
out 2
over 1
ozer 1
ozomoys 1
parties 1
passed 2
peking 2
period 1
person 1
persons 1
petrou 1
pilot 1
places 1
plotbus 1
port 2
portuguese 1
possibly 1
providence 1
pursued 1
quantity 1
quinchang 1
residents 1
river 8
rivers 1
rule 1
running 1
russian 1
sail 1
sailed 2
same 1
schaks 1
sea 1
see 1
september 2
serious 1
seriously 1
set 2
setting 1
settled 1
she 1
ship 4
shots 1
skills 1
sluices 1
so 2
solikamsk 1
soloy 1
some 1
sons 1
sort 1
source 1
south 1
southwards 1
starts 1
statement 1
stayed 2
steps 1
stolen 1
stories 1
style 1
suffered 1
suggested 1
supplies 1
system 1
taiwan 1
takes 1
talk 1
tears 1
ten 1
that 7
the 56
their 1
them 1
then 7
there 1
therefore 2
these 1
they 15
this 4
threat 1
three 3
through 3
time 2
to 18
tobolsk 1
together 1
told 1
tonquin 1
took 1
touched 1
town 3
travelled 1
trees 1
trouble 1
truce 1
turned 1
two 1
udda 1
under 3
unhinged 1
until 1
up 2
various 2
vast 1
veuslima 1
via 1
village 1
visited 1
vychegda 1
was 4
way 1
went 5
were 2
when 2
where 1
white 1
wife 2
will 1
wins 1
wirtska 1
with 4
without 1
witzogda 1
wont 1
work 1
yarensk 1
years 1
yeniseysk 1
yerenskoy 1
you 2
young 1
