19323640
/m/04lj_ln
/m/04lj_ln
John Dryden

a 2
acknowledges 1
ahistorical 1
also 1
and 5
anticolonialist 1
are 1
as 3
at 1
back 1
between 1
bringing 1
but 1
by 3
care 1
chance 1
conflict 2
conquest 1
cortez 3
course 1
critics 1
crown 1
cruel 1
cydaria 1
dost 1
drama 1
dryden 3
emperor 1
ends 1
even 1
feminist 1
flawed 1
for 2
francisco 1
from 2
gets 1
have 1
he 4
highminded 1
his 7
honor 1
i 1
in 1
indian 1
into 1
is 1
john 1
king 1
kingdom 1
love 3
magnanimous 1
making 1
managed 1
modern 1
montezuma 2
more 1
much 1
my 2
obey 1
of 7
on 1
opposite 1
oppressive 1
orders 2
personal 1
pizarro 2
play 4
portray 1
presents 1
reasonsbut 1
recourse 1
refuses 1
save 1
serious 1
show 1
spaniards 2
stake 1
studied 1
subordinate 1
suicide 1
take 1
takes 1
that 3
the 12
their 1
this 1
those 1
thou 1
though 1
to 4
too 1
tortured 1
turning 1
type 1
typical 1
value 1
viewpoints 1
villain 1
wanted 2
which 1
wildly 1
with 1
worst 1
