305504
/m/01sgfy
/m/01sgfy
Thomas Hardy
1874
{"/m/05hgj": "Novel"}
a 33
about 2
absurd 2
accepting 1
accepts 1
adds 1
admirer 1
admiring 1
admits 1
after 5
afterward 1
afterwards 1
again 2
aggressive 1
agrees 1
all 5
alone 1
along 1
already 1
altar 1
although 2
an 3
and 33
angrily 1
anguished 1
announces 1
another 1
answer 1
appointment 1
ardour 1
are 5
arm 1
arranges 1
arrives 1
as 5
ask 1
asks 1
at 5
aunt 1
awakens 1
away 1
baby 1
bachelor 1
back 2
bath 1
bathes 1
bathsheba 18
be 5
beach 1
bear 1
beauty 1
because 2
become 1
becomes 2
bed 1
been 1
before 2
beg 1
begin 1
begins 1
being 1
belongs 1
beloved 1
bestowed 1
better 1
bitterly 1
bloat 1
blunt 1
boat 1
bodies 1
boldwood 13
bribe 1
burdened 1
buries 1
but 6
by 6
bystanders 1
california 1
calls 1
can 2
carries 1
casterbridge 3
caused 1
chagrin 1
chance 1
changed 2
chastened 1
child 5
childbirth 1
christmas 1
church 1
circumstances 1
citing 1
claim 1
cliff 1
clothes 1
coffin 2
come 1
comes 4
company 1
conceal 1
condemned 1
confinement 1
consents 1
consider 1
corpse 1
corrects 1
cottage 1
courting 1
cure 1
curiosity 1
current 1
customary 1
dangerous 1
dashing 1
day 2
days 1
dead 4
debts 1
declared 1
definite 1
delays 1
deserting 1
destination 1
destitute 1
dies 1
discourage 1
discovers 2
dislike 1
display 1
district 1
does 2
dog 1
dorchester 1
drastically 1
drive 1
drives 1
drowned 1
during 1
dying 1
eight 1
eligible 1
emboldened 1
embossed 1
emerges 1
employ 1
employment 1
encounter 1
encounters 1
enough 2
erected 1
estate 1
eve 1
even 1
ever 1
everdene 1
everything 1
excites 1
exclaims 1
existence 1
explains 1
eyes 1
face 1
fact 1
failure 1
fair 2
falls 1
fanny 9
far 1
farm 1
farmer 1
farming 1
fears 1
few 3
fictionalised 1
finally 2
find 1
finds 1
fire 1
fires 1
flock 1
for 9
forced 1
former 2
forty 1
francis 2
frank 1
friend 1
friends 1
friendship 1
from 3
frugal 1
gabriel 8
gambler 1
gently 1
gig 1
girl 2
give 2
gives 2
giving 1
glance 1
goes 4
gone 1
good 1
gossiping 1
granted 1
grave 1
grief 1
guilt 2
gun 1
had 2
hand 1
hang 1
happens 1
harmed 1
has 8
haughtiness 1
have 3
he 33
heads 1
heart 1
help 1
her 41
herself 2
him 18
himself 2
hires 1
his 17
home 3
horse 1
hours 1
house 2
how 2
however 3
humiliated 2
hurst 1
husband 3
idea 1
if 1
important 1
improvident 1
in 22
independence 1
inevitable 1
inexperienced 1
infatuation 1
inherited 1
initial 1
injuring 1
insanity 1
inscription 2
inside 1
interest 2
interment 1
is 25
it 6
jealousy 1
jest 1
job 1
junior 1
keep 1
kisses 1
known 1
knows 1
large 1
last 1
later 2
leads 1
learns 1
leased 1
leaves 1
leaving 2
left 2
lid 1
life 2
like 1
little 2
live 1
loan 1
loathing 1
lonely 1
long 3
love 3
lover 1
luckless 1
majesty 1
makes 2
man 1
manages 1
marble 1
marriage 3
married 1
marry 4
marrying 1
may 1
me 2
meanwhile 1
meet 2
meeting 2
memory 1
mercy 1
miles 2
mistake 1
money 2
months 2
more 4
most 1
mother 1
moves 1
mrs 1
much 1
murder 1
name 1
native 1
needs 1
never 1
new 3
newcomer 1
next 2
night 2
none 2
not 4
notice 1
now 1
oak 1
observes 1
obsessed 1
of 13
off 4
offer 3
offers 2
oldest 1
on 13
once 2
one 1
only 4
onward 1
or 2
orders 1
other 1
out 2
over 2
overnight 1
owner 1
pain 1
painfully 1
part 1
party 1
penniless 1
people 1
petition 1
piqued 1
placed 1
playfully 1
pleasure 1
pocket 1
point 1
postpones 1
pregnant 1
pressed 1
presumed 1
pretends 1
prevent 1
pride 1
private 1
profoundly 1
promised 1
proposes 1
prosperous 1
protestations 1
proud 1
putting 1
quietly 1
reach 1
real 1
realises 1
realising 1
reason 1
rebukes 1
recently 1
recognise 1
red 1
refuses 1
relationship 1
reluctantly 2
rely 1
renews 1
repressed 1
rescued 1
restored 1
return 1
returning 1
returns 2
reveals 2
revenge 1
rival 1
road 1
robin 2
rowing 1
ruining 1
same 1
saves 1
savings 1
saying 1
scornfully 1
screams 1
sea 1
sealed 1
secretary 1
seeing 1
seeks 1
sees 1
seizes 1
selling 1
sends 2
sent 1
sentence 1
sergeant 1
servant 1
servants 1
serve 1
settle 1
she 37
sheep 2
sheepfarm 1
shepherd 2
shoots 1
shottsford 1
shrinks 1
six 1
soldier 1
some 2
somewhat 1
soon 4
spends 1
stocked 1
strength 1
strong 1
suit 1
suitable 1
surprise 1
suspect 1
suspecting 1
swordsmanship 1
telling 2
tells 1
ten 1
than 2
thank 1
that 11
the 48
their 5
them 1
then 5
they 3
think 1
this 4
though 2
thoughtlessness 1
throughout 1
to 50
tombstone 1
too 5
toward 1
towards 1
town 2
toys 1
tribulations 1
tries 3
troy 18
truth 1
turn 1
turns 1
two 2
unable 1
unadorned 1
unbeknownst 1
uncle 1
uncomfortable 1
uncovers 1
underway 1
unscrews 1
unsuccessfully 1
unwittingly 1
up 2
upon 1
uses 1
valentine 2
value 1
values 1
veiled 1
version 1
village 1
visit 1
vows 1
waiting 1
walk 1
wants 1
was 1
wax 1
way 2
wealthy 1
weatherbury 6
wed 1
wedding 2
well 1
wellbeing 1
were 1
when 13
where 2
which 1
who 3
whose 1
why 1
wife 2
wild 1
will 1
william 1
with 18
withdraws 1
woman 2
words 1
work 1
workhouse 1
worse 1
would 1
wrong 1
year 1
years 2
you 1
young 2
