5552573
/m/0ds6h9
/m/0ds6h9
Marek Halter

{"/m/0hwxm": "Historical novel"}
2000 1
70 1
a 4
abraham 8
ad 1
adds 1
after 2
ages 1
amsterdam 1
and 15
are 1
around 1
as 3
at 1
be 1
begins 2
black 1
book 5
both 1
breach 1
but 1
by 3
carthage 1
century 1
cities 1
city 2
coincides 1
commander 1
conquests 1
constantinople 1
continues 1
cordoba 1
course 1
day 1
descendants 1
destruction 1
dies 2
documents 1
during 3
each 1
early 2
empire 1
end 1
escape 1
events 1
expulsion 1
faced 1
factual 1
fall 1
family 3
fictional 1
fire 1
forced 1
freed 1
french 1
from 3
generation 1
ghetto 1
grandfather 1
halter 1
hardships 1
have 1
he 1
hippo 1
his 7
historical 1
ie 1
ii 1
in 4
incapacitate 1
including 1
industrial 1
inquisition 1
is 2
islamic 1
jerusalem 4
jewish 1
jews 2
journeys 1
just 1
late 1
later 1
lists 1
live 1
lost 1
lublin 1
many 1
marek 1
middle 1
moves 1
murder 1
narbonne 1
nearly 1
notable 1
odessa 1
of 10
on 2
only 1
original 1
over 1
palestine 1
parts 1
plague 1
platoon 1
point 3
prior 1
rape 1
renaissance 1
revolution 2
revolves 1
roman 4
romans 2
rome 1
scribe 1
scroll 2
scrolls 1
second 2
segregation 1
set 1
showing 1
siege 2
socalled 1
soldiers 1
sons 3
stopped 1
story 3
strasbourg 1
successfully 1
successive 1
such 1
surrender 1
survived 1
telling 1
temple 2
that 1
the 38
their 2
this 1
to 10
toledo 1
troyes 1
twentieth 1
two 1
uprising 1
view 1
walls 1
war 1
warsaw 2
well 1
western 1
when 3
which 2
wife 2
with 1
world 1
years 1
