12529832
/m/02wbpy8
/m/02wbpy8
Simon Kernick
2006
a 11
about 1
address 1
admitting 1
after 1
afternoon 1
already 1
an 1
and 5
apprehend 1
around 1
arrested 1
at 1
attacked 1
attempt 1
away 1
back 1
bail 1
balaclavaclad 1
baseball 1
be 1
because 1
been 1
being 2
beside 1
blake 1
bloody 1
bolt 1
break 1
but 2
by 3
call 2
calley 2
cap 1
car 2
case 1
chief 1
children 2
city 1
class 1
confused 1
crime 1
decides 1
defeat 1
do 1
evidence 1
exits 1
find 1
finds 1
first 1
flees 1
for 1
forced 1
friend 1
from 2
get 1
goes 2
good 1
grabs 1
happily 1
has 1
hasnt 1
have 1
he 13
heading 1
heard 1
hears 1
her 1
highflying 1
him 5
his 9
house 3
in 5
into 1
is 5
it 3
jack 4
just 1
justice 1
kidnapped 1
knife 1
landline 1
last 2
lawyer 1
learns 1
leaves 1
leaving 1
line 1
lines 1
made 1
make 1
man 3
manages 1
married 1
mean 1
meanwhile 1
men 1
meron 2
middle 1
might 1
mike 2
motherinlaw 1
murder 2
murdered 1
neighborhood 1
of 5
office 1
officers 1
old 1
on 4
one 1
only 1
or 1
order 1
orders 1
out 1
partner 1
passes 1
phone 2
police 2
pulls 1
question 3
questioned 1
quickly 2
rearrest 1
receives 1
released 1
saturday 1
scene 1
seen 1
so 1
solicitor 1
something 1
station 1
subdued 1
subsequently 1
suicidemurder 1
suspicion 1
suspicious 1
telling 1
terrified 1
that 4
the 15
then 1
there 1
thinking 1
thinks 1
though 1
to 12
tom 13
towards 1
turns 1
two 2
up 1
vanessa 1
vehicle 1
violently 1
was 4
way 1
when 1
while 2
who 1
whom 1
wielding 1
wife 2
with 2
words 1
work 1
working 1
years 1
