3124965
/m/08t13x
/m/08t13x
Jonathan Stroud
2004
100 1
500 1
600 1
a 34
abandoned 1
abbey 1
able 1
about 5
accidentally 1
across 1
activities 1
affairs 1
afrit 6
after 4
afterwards 1
again 1
against 1
age 1
aged 1
all 2
also 2
although 1
amulet 1
an 8
anchor 1
and 69
angry 1
animating 1
anne 2
antipathy 1
antique 1
appears 1
apprehended 1
apprenticed 1
araby 1
are 7
arrested 1
arrive 1
arrives 1
artifact 1
as 15
asks 1
assist 1
assuring 1
at 6
attack 3
attacked 1
attacker 6
attacks 1
attempt 1
attempts 4
avail 1
awarded 1
away 4
back 1
backlash 1
badly 1
ball 1
bartimaeus 16
be 3
beast 1
been 1
before 1
begins 2
behind 1
being 3
benefactor 1
between 1
black 2
blade 1
blasting 1
boat 1
bones 1
book 5
books 1
both 1
break 1
breaking 1
british 1
broken 1
building 2
burnt 1
but 9
by 15
caged 1
called 2
calls 1
came 1
can 3
car 2
care 1
carpet 1
carpets 1
case 1
cases 1
casually 1
caught 1
chain 1
chaos 1
charge 1
chastise 1
chief 1
childhood 2
citing 1
claiming 1
clay 1
climbed 1
cloud 1
clutches 1
coffin 1
collaborate 1
combat 1
come 1
comes 1
coming 1
command 1
commanding 2
commoners 3
compensation 1
competent 2
composed 1
conceals 1
conflict 1
confronted 1
continuing 1
controls 1
conversation 1
convince 1
council 1
country 1
court 1
create 1
created 1
creature 1
cricket 1
crushing 1
cycle 1
czech 2
damage 1
darkness 1
day 2
days 1
death 1
deaths 1
decide 1
decides 2
delays 1
demon 2
demons 2
desperate 1
destroy 2
destroyed 1
destroys 2
devereaux 1
dictates 1
did 1
disagree 1
discover 1
discovering 1
discovers 1
disguises 1
displeasure 1
distraction 1
distraughtly 1
djinn 2
documents 1
does 1
door 2
doubts 1
drags 1
dreaded 1
dreamlike 1
drowns 1
due 2
during 2
duty 1
duvall 3
earlier 1
easily 1
eight 1
elusive 1
emergency 1
encounter 1
ending 1
endless 1
enemy 1
engage 1
engages 1
enlightening 1
enormous 1
enough 1
ensuing 1
enter 2
entire 1
escape 4
escaped 1
escapes 1
evades 1
events 1
eventually 3
everyone 1
exceedingly 1
exchange 1
experimented 1
factory 1
facts 1
fails 1
family 2
favor 1
feet 1
few 2
fight 1
finally 1
find 5
finds 2
fine 1
fined 1
fines 1
fire 2
flee 2
flees 2
foliot 1
foliots 1
follow 1
following 1
follows 1
for 15
force 1
fourteen 1
fred 6
free 1
friend 4
friends 2
from 8
full 1
gamble 1
gets 1
give 1
gives 2
gladstone 7
go 1
goes 1
golem 11
government 2
green 1
group 3
groups 1
had 1
harlequin 2
harming 1
has 3
hatches 1
have 2
having 1
he 22
hearing 1
henry 1
her 26
hesitates 1
hid 2
him 8
himself 1
his 8
historical 1
hit 1
home 2
honorius 8
hopkins 1
hospital 1
house 2
however 2
humans 1
hundreds 1
hunt 1
hurling 1
hurricane 1
hyrnek 4
identify 1
identity 2
if 2
ignoring 1
imitating 1
immediately 1
in 13
incident 1
including 3
inferno 1
informant 1
innate 1
instructs 1
intermission 1
internal 1
interrupted 1
intervenes 1
intervention 1
into 2
investigate 1
investigating 1
involving 1
is 34
it 6
items 1
its 1
jakob 9
jessica 1
job 1
joined 1
joining 1
jones 2
julius 1
justice 1
kavka 4
kidnapping 1
kill 2
killed 6
killing 2
kills 1
kitty 29
knocked 1
know 1
known 1
knows 1
late 2
later 2
leader 2
leads 1
learns 2
leave 3
leaves 1
left 1
little 1
lived 2
living 1
london 4
long 1
longer 1
loot 1
losers 1
lure 1
magic 2
magical 3
magician 11
magicians 4
major 1
man 3
manuscript 1
marauder 1
master 2
materials 1
meantime 1
meanwhile 1
meet 3
meeting 2
meets 4
members 3
memories 1
mercenary 2
metal 1
minister 4
minor 1
mission 1
mist 1
money 1
monkey 1
morning 1
most 1
mostly 1
mouth 1
mr 5
ms 1
much 2
multiple 1
museum 2
mysterious 1
mystery 1
name 2
named 3
names 1
nathaniel 25
nearby 1
nemaides 1
next 2
night 4
no 3
not 3
now 1
occurs 1
of 43
off 2
official 1
often 1
old 2
on 7
one 3
only 3
or 1
ordered 1
orders 2
origin 1
original 1
other 1
otherwise 1
out 5
owned 1
parchment 1
parents 1
passed 2
past 1
patrol 1
pay 3
penalty 1
pendant 1
pennyfeather 4
per 1
perceived 1
perform 1
performance 1
perpetrator 1
placed 1
plan 1
play 2
played 1
point 3
police 6
policemen 1
poorly 1
posh 2
possesses 1
powerful 2
prague 2
praise 1
previous 1
previously 1
prime 2
printed 1
promptly 1
property 1
protests 1
put 1
queezle 3
quickly 2
raid 1
raiders 1
raiding 1
rather 1
rebelling 1
records 1
recover 2
rediscovering 1
referred 1
remains 1
remembering 1
remembers 1
reminisce 1
rescue 1
rescued 1
resistance 14
rest 2
retreats 1
return 1
returning 1
returns 6
revealed 2
reveals 2
reverie 1
rob 1
runs 1
rupert 1
samarkand 1
saved 1
saving 1
scale 1
scene 2
scream 1
search 1
searches 1
second 2
section 1
security 1
sees 1
sell 1
sells 1
sends 3
sent 2
servant 1
set 2
several 2
shadowy 1
share 1
she 17
shop 2
shops 1
should 1
silver 1
simpkin 2
six 1
sleeping 1
small 1
so 1
some 1
somewhat 1
son 1
soon 1
spell 1
spheres 2
spirits 4
split 1
spy 1
staff 7
stanley 5
stars 1
started 1
starts 1
steal 1
steps 1
stick 1
stop 1
stored 1
stumbling 1
suddenly 1
sue 1
summon 1
surveillance 1
suspects 1
suspicious 1
swans 1
switches 1
sword 1
system 1
take 1
taken 1
takes 3
talks 1
tallow 2
tells 1
terrorizing 1
thames 1
that 11
the 138
theatre 3
their 3
them 6
then 6
there 3
these 1
they 15
thinks 1
this 4
threatens 1
three 3
