3602048
/m/09p6_v
/m/09p6_v
Ted Lewis
1970-02-09
a 1
ambiguous 1
among 1
amoral 1
an 1
and 1
arrive 1
at 1
attempts 1
brother 1
brute 1
bullying 1
but 1
carter 1
causes 1
conclusion 1
crime 1
death 1
doggedly 1
employed 1
enforcer 1
everything 1
families 1
fear 1
force 1
from 1
get 1
had 1
he 2
his 5
home 2
in 2
interfere 1
investigate 1
is 1
jack 4
leading 1
leave 1
life 1
local 1
london 1
many 1
mob 1
mysterious 1
named 1
not 1
numerous 1
of 2
on 1
operations 1
pitiless 1
presence 1
refuses 1
return 1
returns 1
scunthorpe 1
simple 1
snooping 1
spoken 1
story 1
suggestion 1
tells 1
that 1
the 5
their 1
through 1
to 8
town 2
truth 1
try 1
underworld 1
unease 1
violent 1
way 1
who 2
whom 1
will 1
with 2
years 1
