14557022
/m/03d7v5v
/m/03d7v5v
Paule Marshall
1983-02-14
{"/m/05hgj": "Novel"}
160s 1
170s 1
a 9
aboard 1
about 3
africa 1
all 1
alone 1
along 2
ancestors 1
and 11
annual 1
anyone 1
are 1
as 1
at 3
atmosphere 1
attempting 1
aunt 3
avatara 1
avey 16
away 1
back 1
bags 2
be 3
before 1
began 1
begins 1
bianca 1
big 1
boats 1
brawl 1
breakfast 1
bright 1
but 1
by 3
bystander 1
cannot 1
carolina 1
carriacou 2
carrying 1
celebrating 1
childhood 1
clothing 1
come 1
community 1
confused 1
consciousness 1
consists 1
convince 1
cruise 2
cultural 1
cuney 3
dance 1
dances 2
dancing 1
daughter 1
day 3
decides 2
decision 1
demand 1
departure 1
despite 1
did 1
dining 1
disturbing 1
down 1
dream 2
dressed 1
driver 1
drum 1
during 2
elders 1
encounter 1
end 1
enters 1
excursion 1
feeds 1
feeling 2
festive 1
first 3
follow 1
for 5
four 1
from 1
get 1
getting 1
go 2
goes 1
grandchildren 1
great 1
grenada 2
had 1
happy 1
have 1
her 18
heritage 1
his 1
home 4
hotel 1
how 1
however 1
husband 1
in 8
informed 1
is 6
island 2
it 1
jay 1
jerome 1
johnson 3
joseph 1
last 1
late 2
later 1
leave 1
leaves 2
lebert 4
left 1
like 1
longer 1
loss 1
maid 1
makes 1
matter 1
may 1
merely 1
milda 2
moments 1
more 1
morning 3
mourns 1
move 1
nearby 1
needs 1
new 1
next 5
night 3
nights 1
no 2
nothing 1
of 8
on 4
onto 1
opening 1
other 2
packages 1
packing 1
packs 1
painfully 1
parfait 1
parvay 1
peach 1
people 2
physical 1
place 1
plane 1
point 1
portofcall 1
previous 1
pride 1
reason 1
relationship 1
reminiscing 1
resists 1
returns 1
road 1
room 1
roots 1
rosalie 3
see 2
seems 1
sell 1
seventeen 1
she 8
ship 2
sick 1
sickness 1
since 1
sing 1
so 1
south 1
spends 1
spot 1
stomach 1
sudden 1
take 1
tatem 3
taxi 1
teach 1
than 1
that 7
the 36
their 2
them 1
there 2
this 1
three 1
time 1
to 17
two 1
typical 1
up 1
vacation 1
versailles 1
wakes 1
wants 1
washes 1
watch 1
when 2
where 1
which 2
widow 1
will 2
with 5
years 1
yet 1
york 1
