14747551
/m/03w9ftj
/m/03w9ftj
Jack Williamson
1947
a 16
academy 1
across 1
after 1
against 1
agenda 1
akka 4
aladoree 5
alien 1
all 2
allied 1
already 1
an 1
and 12
anthar 1
any 2
as 3
assigned 1
at 1
barnard 2
bases 1
battle 1
beautiful 1
begun 1
bombard 1
build 1
but 2
by 2
called 1
cannibals 1
citadel 1
companions 2
conquer 1
continent 1
crashland 1
created 1
creator 1
current 1
daughter 1
defeat 1
descended 1
destroy 2
distortion 1
down 1
dynasty 1
earth 4
empire 1
ensure 1
enthusiastic 1
erases 1
even 1
family 1
far 1
fighting 1
fleets 1
follow 1
for 1
force 3
fort 1
from 3
gas 2
generations 1
graduate 1
guard 3
has 1
have 2
her 1
hidden 1
his 3
however 1
huge 1
humanity 1
humans 1
important 1
in 1
into 1
invasion 1
is 9
it 2
its 1
john 6
keep 1
keeper 1
kept 1
kidnapped 2
kidnappers 1
land 1
legion 4
machinations 1
maddened 1
mars 1
matter 2
means 1
medusae 5
military 1
moon 2
most 1
mother 1
move 1
must 1
named 1
nephew 1
not 1
of 12
off 1
older 1
on 4
one 2
or 1
other 1
overthrow 1
own 1
passed 1
peace 1
planet 2
police 1
politician 1
powerful 1
projectiles 1
purples 4
ravaged 1
regain 1
remaining 1
rescue 1
ruled 1
savage 1
secret 2
seeking 1
set 1
shares 1
she 1
size 1
solar 3
sole 1
spaceship 1
spacetime 1
spiraling 1
star 3
supporter 1
surname 1
survivors 1
system 3
tasks 1
than 1
that 2
the 29
their 4
them 1
there 1
they 2
three 1
through 1
to 11
turn 1
ulnar 4
uncle 2
universe 1
up 1
used 2
using 1
was 2
way 1
weapon 1
well 1
when 1
with 4
woman 1
world 1
young 2
