8392274
/m/0271wfx
/m/0271wfx
Richard Sapir

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery"}
a 3
after 1
an 2
ancient 1
and 4
aramaic 1
archaeologist 2
archaeologistpriests 1
are 1
arrives 1
as 2
assigned 1
be 1
body 1
broken 1
catholic 1
christ 1
committed 1
continue 1
corpo 1
could 1
danger 1
deepens 1
discovers 1
faith 1
father 1
female 1
find 1
folan 2
former 1
golban 1
government 1
in 1
inscription 1
intrigue 1
investigate 1
investigation 1
invite 1
is 1
israel 2
itil 1
jesus 1
jews 1
jim 1
king 1
mafia 1
man 2
matter 1
melek 1
mossad 1
mystery 1
of 6
one 1
priest 1
reads 1
reluctant 1
renowned 1
sapir 1
sharon 1
skeleton 1
soldier 1
soviets 1
states 1
suddenly 1
suicide 1
suspect 1
that 2
the 14
they 2
to 3
truth 1
united 1
vatican 3
when 2
which 1
with 2
work 1
yehudayai 1
