8787367
/m/027jrcr
/m/027jrcr
Jackie French
2005-03-30
{"/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
12yearold 1
5 1
a 16
aback 1
about 4
abuse 1
adopts 1
affectionately 1
after 4
age 1
aid 1
all 6
already 1
also 2
and 28
another 1
anybody 1
apparently 1
appeared 1
approaching 1
are 4
around 1
arriving 1
as 3
at 5
attacked 1
away 4
back 3
be 1
beach 1
beautiful 2
became 1
because 2
become 1
becomes 3
been 1
befriends 1
beginning 1
best 1
better 1
bite 1
bites 1
biting 1
book 1
boy 1
bran 1
branna 2
bringing 1
brother 1
brothers 1
but 7
by 5
called 2
can 2
captured 1
cattle 1
cheese 1
chief 2
colony 1
come 1
comes 2
consequently 1
considered 2
course 1
cover 1
cows 2
daughter 1
day 4
dead 1
death 1
determination 1
develop 1
didnt 1
died 1
dies 2
dished 1
distance 1
does 1
doesnt 1
dog 1
down 1
due 1
eaten 1
else 1
erik 1
even 3
eventually 1
every 2
everything 1
except 1
execept 1
expedition 1
father 1
finally 1
find 1
finds 3
finished 1
firm 1
first 1
focuses 1
foggy 1
follows 1
for 5
found 1
freydis 5
friend 1
friends 1
friendship 1
from 6
full 1
gift 1
girl 2
girls 8
given 1
gives 1
goes 1
going 1
had 6
happy 1
hardly 1
has 2
hates 1
have 3
he 5
heal 1
hear 1
heard 3
heart 1
hekja 30
hekjas 1
help 1
her 14
hero 1
herself 2
hid 1
hikki 3
him 4
how 2
however 1
howl 1
if 3
in 9
included 1
indifferent 1
interest 1
invaders 1
investigate 1
is 17
it 7
its 1
jaws 1
jealous 2
joining 1
kill 1
know 1
known 1
later 3
left 1
leg 2
let 1
letting 1
like 2
limps 1
litter 2
little 1
lives 1
look 2
lot 1
love 2
make 1
making 1
marries 2
mean 2
means 1
mighty 1
mild 1
mind 1
mistress 2
months 1
moon 1
mother 3
mountain 6
much 1
murdering 1
mysterious 1
name 1
named 1
neck 1
no 1
norse 1
norseman 1
norsemen 1
not 3
now 1
of 14
on 4
one 8
only 2
or 3
other 6
out 4
outrun 1
people 1
persuade 1
place 1
planning 1
pleaded 1
pregnant 1
produce 1
proposes 1
protests 1
pup 1
puppy 5
raid 1
raiders 1
reds 1
refrains 1
respect 1
riki 1
round 1
rover 1
runs 1
sea 1
seagull 1
seconds 1
see 1
seems 1
sees 1
serving 1
several 1
share 1
she 13
sheep 2
sheer 1
ships 1
shown 1
shows 1
simple 1
sing 5
singing 2
skald 2
skraeling 1
slave 1
small 1
snarf 11
snarfari 1
snorri 4
so 4
song 2
soon 2
spend 1
spirit 1
stay 1
still 1
story 1
strange 1
strong 1
stubborn 1
summer 1
supplies 1
take 2
taken 3
takes 1
tells 1
that 8
the 65
them 2
there 1
they 10
this 1
though 1
thrall 2
tikka 2
time 2
to 26
together 1
told 2
too 2
tradition 1
treated 1
tried 1
tries 1
true 1
twice 1
two 3
until 1
up 6
upon 1
used 1
useless 1
value 1
very 1
viking 2
village 6
vinland 3
voice 1
wait 1
want 1
was 8
welcoming 1
went 2
were 2
when 2
wherever 1
while 2
whilst 2
who 4
will 2
windpipe 1
winters 1
witch 1
with 6
wolf 5
woman 1
women 2
wonderful 1
would 3
wounded 2
year 1
years 1
