28108732
/m/0cmczkz
/m/0cmczkz

2010-01-12
{"/m/05h83": "Non-fiction"}
34i 1
34mine 1
34passion34 1
34punch 1
34sufi 1
3u2 1
a 11
about 1
acrobatics 1
after 1
ahmad 6
ahmad3s 1
albums 1
all 2
also 1
always 1
ambassador 2
and 12
angry 1
annan 1
are 1
as 3
asia 1
asia3 1
band 2
banned 1
be 1
became 1
began 1
begins 1
behemoth 1
between 1
bono 1
book 2
boundaries 1
bringing 1
british 1
broke 1
but 1
by 1
charts 1
chords 1
common 1
conservative 1
continues 1
decades 1
destined 1
devotes 1
dictators 1
didn3t 1
die 1
divisions 1
down 1
dream 1
east 1
ecstatic 1
encounters 1
etheridge 1
facing 1
family 1
fearknow 1
finishing 1
first 3
follow 1
for 3
forced 1
from 2
fronts 1
goodwill 2
greatest 1
group 1
gut34 1
he 5
heal 2
heights 1
help 1
high 1
his 6
history 1
hurt 1
illuminating 1
in 7
included 1
inspires 1
is 3
islamic 1
it 1
jagger 1
junoon 2
kofi 1
later 1
learned 1
led 1
lessons 2
life 2
lightbringersalman 1
love 2
marrying 1
me 1
medical 1
melissa 1
memoir 1
mick 1
millenniaold 1
most 1
mullahs 1
music 3
musical 1
muslim 1
named 1
nationalism 1
never 1
new 2
newly 1
not 1
number 1
of 13
oppressive 1
order 1
our 1
out 1
pakistan 3
pakistanborn 1
pakistani 1
part 1
past 1
peace 1
pioneer 1
pioneered 1
pistols 1
play 1
pop 1
power 1
process 1
qawwali 1
quote 1
random 1
reach 1
read 1
record 1
religious 1
republic 1
returned 1
revered 1
reverse34 1
riffs 1
rock 4
rock34 1
rocketed 1
rocking 1
salman 2
saying 1
school 2
secretarygeneral 1
seemed 1
sex 1
shares 1
singing 1
sinuously 1
situation 1
sold 1
sort 1
south 1
spend 1
spokesperson 1
star 1
story 5
strictures 1
style 1
sufi 1
tappan 1
teenage 1
teenagers 1
tells 1
that 4
the 24
third 1
this 1
time 1
to 15
today 1
top 1
traveling 1
true 1
two 1
un 1
unaids 2
unite 1
using 1
vocal 1
wanted 2
was 2
west 1
westernstyle 1
when 1
where 1
who 3
with 2
world 2
world34 1
wounds 1
writes 1
years 1
york 2
you 1
zeppelin3s 1
