742927
/m/037kzk
/m/037kzk
Robert Jordan
2004-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1 1
a 2
aes 2
aiel 1
also 1
althor 1
and 7
around 1
battle 1
became 1
before 2
begin 1
begins 1
book 1
borderlands 1
came 1
cycle 1
damodred 1
days 1
decades 1
describes 1
discovering 1
dragon 2
events 2
explains 1
eye 1
focuses 1
her 1
him 1
how 2
in 2
investigating 1
is 1
it 1
kandor 1
karaethon 1
lan 1
last 1
made 1
mainly 1
mandragoran 1
met 1
moiraine 3
new 3
novel 1
of 6
on 1
place 1
primarily 1
prophecies 1
prophecy 1
rand 1
rebirth 1
sanche 1
sedai 2
set 1
shining 1
sisterhood 1
siuan 2
specifically 1
spring 2
story 1
take 1
tar 2
the 15
to 2
twenty 1
two 1
valon 2
walls 1
war 1
warder 1
which 1
witnessed 1
world 1
years 1
young 1
