12093436
/m/02vpmc4
/m/02vpmc4
Mercedes Lackey
2006
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 16
able 3
acadia 5
acceptance 1
actionable 1
adamant 2
adviser 3
an 1
and 19
andie 12
andromeda 1
angry 1
another 1
any 2
approval 1
are 3
around 1
arrives 2
as 3
assistance 1
await 1
awaiting 1
barrier 1
battle 1
be 1
becomes 2
been 2
being 2
better 1
brother 1
burning 1
busy 1
by 5
call 1
calling 1
can 1
cant 1
cassiopeia 2
cast 2
champion 2
champions 1
chief 1
choose 1
chosen 1
clause 1
clear 1
climactic 1
comes 1
coming 1
complete 1
complicated 1
confront 1
control 1
country 1
couples 1
craves 1
decide 1
decided 1
declares 1
despite 1
devise 1
difficult 1
discover 1
distressed 1
double 1
down 1
dragon 7
dragons 5
dull 1
elena 2
entering 1
entire 1
escape 1
even 3
events 1
excellent 1
explaining 1
face 1
fallen 1
female 1
fight 1
fighter 1
finally 1
find 1
finds 2
finish 1
fly 1
for 4
frightened 1
from 4
george 6
get 1
gets 1
gina 4
girls 1
give 1
go 1
godmother 1
group 3
guarded 1
hair 1
has 2
hasnt 1
have 1
he 1
help 1
helping 1
her 10
herself 1
highly 1
him 1
his 3
history 1
honeymoon 1
however 2
idea 2
identifying 1
in 7
instead 1
instructions 1
intelligent 1
into 3
is 13
it 1
its 2
job 1
keen 1
kingdom 2
lair 1
law 1
learned 1
let 1
life 2
look 1
lottery 1
love 3
magician 1
make 1
man 3
manipulating 1
marauding 1
misunderstandings 1
more 1
mother 4
motley 1
mysterious 1
need 1
new 1
no 1
of 8
off 3
offers 1
on 4
one 1
only 2
out 2
over 1
palace 2
people 1
periapt 6
perplexed 1
picklocks 1
plans 1
plot 1
points 1
preventing 1
prevents 1
previous 1
princess 1
problem 2
problems 1
queen 1
realizes 2
rectify 1
relate 1
release 1
reluctant 1
reports 2
researching 1
resolve 1
retrieving 1
reveal 1
root 1
royal 2
ruled 1
sacrifice 1
sacrificial 1
scale 1
secretly 1
seeks 1
seem 1
seems 1
sent 1
sentfor 1
set 1
she 8
shipwrecks 1
shows 1
side 1
sir 3
so 2
solon 2
something 1
soothed 1
sort 1
spell 2
staff 1
starts 1
stop 1
story 1
studies 1
system 1
tactical 1
that 3
the 35
their 1
them 1
there 2
they 4
theyre 1
things 4
this 1
though 1
tied 1
time 1
to 19
too 1
track 1
tradition 2
traditionally 1
training 1
transform 1
try 1
two 3
unable 1
unfortunately 1
unstoppable 1
up 5
using 1
victim 1
victims 1
virgin 1
virgins 1
was 1
watch 1
wealth 1
wedding 1
well 1
werent 1
what 1
when 8
which 1
while 1
who 3
whole 1
why 1
with 4
wizard 3
writing 1
