7089992
/m/0h3ngm
/m/0h3ngm
Diane Duane
2005
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 17
abeyance 1
abilities 2
ability 1
able 1
about 1
across 1
activate 1
active 1
actually 1
adopting 1
adulthood 1
advancing 1
affects 1
after 2
again 1
against 1
agents 1
aiding 1
all 2
allowing 1
an 1
analogous 1
and 26
are 4
area 2
arrive 1
as 6
ask 1
assumes 1
at 1
away 2
back 4
be 1
beaten 1
because 3
become 1
becomes 2
been 1
before 3
between 1
book 1
buglike 1
burn 1
but 4
by 1
called 1
can 2
canine 2
captured 1
carmela 1
caught 1
champion 2
chance 1
channel 1
choice 4
choose 1
clashes 1
closer 1
comes 1
completes 1
concepts 2
consult 1
creates 1
cutting 1
dairine 4
dark 2
darkness 1
death 1
decides 1
defeated 1
despite 1
destroy 1
devoted 1
directly 1
disappears 1
discover 1
disguises 1
do 1
dogs 1
doing 1
down 1
drain 1
due 1
earth 4
eclipse 1
elf 1
embodied 1
ends 1
energy 1
everything 1
except 1
fails 1
fell 1
few 1
fight 3
filif 3
final 1
find 4
finding 1
finds 1
first 1
for 4
force 1
free 2
friend 1
from 4
galaxy 1
gathering 1
giant 1
give 1
gives 1
go 2
gone 1
great 1
group 2
had 4
happened 1
has 1
he 5
head 2
healed 1
held 1
help 1
her 3
hesper 8
high 1
him 1
himself 1
his 5
holds 1
holiday 1
home 2
hound 1
however 1
human 1
in 5
incarnated 1
incarnation 1
inside 1
instead 1
instrumentality 1
is 14
it 1
its 1
jedi 1
joining 1
joins 1
just 1
kit 8
lack 1
last 1
lead 1
leaves 1
like 2
lone 9
longago 1
longer 1
look 1
lose 1
lost 1
loyalty 1
make 3
master 1
matter 2
mobiles 1
moon 1
motherboard 1
much 1
natives 1
near 1
neither 1
never 1
new 1
nita 6
no 2
not 1
obey 1
of 13
off 1
on 5
one 4
only 2
or 3
others 3
out 1
parents 1
partners 1
period 1
pick 1
planet 2
ponch 9
position 1
power 12
prepare 1
previous 1
pullulus 11
pushing 1
realize 1
really 1
remaining 2
represents 1
resides 1
resolving 1
restores 1
returns 1
rising 1
ronan 4
roshaun 5
roughly 1
running 1
sacrifices 1
same 1
says 1
school 1
searching 1
seems 1
senior 1
shape 1
she 2
sheepdog 1
shown 1
single 1
skerret 1
skirmishes 1
some 2
spell 2
spot 1
stand 1
starlight 1
stars 1
start 1
starting 1
starts 2
stay 1
staying 2
still 2
stop 2
stray 1
street 1
structure 1
sun 1
suppresses 1
surge 1
suspecting 1
take 2
takes 1
teaching 1
tells 1
that 10
the 69
their 2
themselves 1
then 1
there 2
they 7
things 1
this 1
threat 1
to 40
told 2
too 1
tourists 1
towards 1
tracking 1
trip 1
try 1
understanding 1
unfortunately 1
unfriendly 1
universe 2
unscathed 1
until 1
up 2
uses 2
version 1
way 2
weapon 1
what 2
which 3
while 1
who 4
will 1
with 8
without 1
wizard 2
wizardly 1
wizardry 4
wizards 6
wolf 2
wolflike 1
work 2
working 1
works 1
world 2
