518302
/m/02ksh1
/m/02ksh1
Paul Auster
1987
{"/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
a 30
abandoned 1
able 1
about 1
academics 1
accepts 2
accidentally 1
accomplices 1
acquaintance 1
act 1
address 2
advanced 1
affair 1
affected 1
afford 1
after 4
again 2
against 1
age 1
allocated 1
almost 1
also 2
an 11
and 51
anger 1
anna 29
any 1
apartment 3
appointed 1
are 6
arrive 2
arrives 1
as 6
asks 1
asleep 2
at 3
atheism 1
attempt 1
authority 1
awakes 2
away 1
bandages 1
be 5
because 1
become 2
becomes 2
been 7
before 3
begins 1
believes 1
best 1
blume 1
blumes 1
body 3
book 2
boris 5
bottles 1
broken 1
brother 1
building 1
burial 2
but 11
buy 1
by 8
can 2
cannot 2
carry 1
chaos 1
character 1
charade 1
cigarettes 1
city 12
close 1
closes 1
collapsed 2
colleagues 1
collecting 1
collection 2
collects 1
come 1
comes 1
comfort 1
committed 1
considering 1
continue 2
contribute 1
couple 1
cousin 2
cremated 1
crematorium 1
cutbacks 1
damage 1
daughter 1
day 1
decides 1
deeply 2
demolished 1
describe 1
described 1
despite 3
died 1
dies 3
dig 1
directs 1
disappearance 1
discover 1
dislike 1
disorder 1
dissuaded 1
distressed 1
doctor 1
does 1
done 1
door 1
down 1
dr 2
draining 1
driver 1
dujardin 2
east 1
editor 1
emotionally 1
ends 1
enigmatic 1
enjoy 1
entered 1
enters 1
entire 1
environment 1
equipment 1
erratically 1
escapes 1
especially 1
evening 1
events 2
eventually 1
except 1
exert 1
fading 1
failing 1
falls 1
farr 2
ferdinand 5
fifteenyearold 1
financial 1
financially 1
find 3
finds 3
finished 1
finite 1
fire 2
first 1
follows 1
food 1
for 11
forced 2
forever 1
form 1
founder 1
four 1
frick 3
from 14
full 1
further 1
garbage 1
garden 1
general 1
given 1
gives 1
god 1
goes 1
government 2
grandson 1
granted 1
group 2
groups 2
gun 1
had 4
happiest 1
has 18
have 1
having 1
he 9
health 1
hear 1
help 1
helps 1
her 15
him 7
hinting 1
his 5
homeless 3
hostility 1
house 15
housebreakers 1
however 5
human 1
hunter 2
husband 1
if 1
ill 1
immediately 1
in 19
industry 1
inhabitants 1
initial 2
interviewee 1
interviews 1
into 3
introverted 1
involves 1
is 24
isabel 8
it 8
items 2
its 2
jew 1
jewish 3
job 2
journalist 1
jumps 1
knowledge 1
last 2
later 2
laws 1
leading 1
leave 5
let 1
letter 2
library 6
life 3
like 1
live 2
lived 2
lives 3
living 1
longer 3
losing 1
love 1
lovers 1
luxury 2
made 1
make 1
makes 1
making 2
man 3
manufactured 1
materials 1
measures 1
medical 1
meets 1
memories 1
miscarriage 1
mission 1
money 3
morning 1
most 1
much 1
murdering 1
named 2
national 1
new 1
no 4
not 5
novel 2
now 1
object 2
objects 4
obtain 1
obtained 1
of 28
offer 2
officer 1
older 2
on 5
once 1
one 3
only 2
open 1
opposite 1
or 2
out 4
overpower 1
painkillers 1
pair 2
parts 1
patrons 1
people 1
period 2
permits 1
personal 1
photo 1
place 1
police 3
population 1
position 2
possessions 1
pregnant 1
pretending 1
procured 1
procuring 1
progress 1
prospective 1
provisions 1
rabbi 2
railway 1
rape 1
rather 1
reach 1
realize 1
realizes 1
receive 1
recover 1
reduced 1
refers 1
refuses 1
relative 1
relies 1
religious 1
remedies 1
remnants 1
replaced 1
reported 1
reputation 1
require 1
resell 1
resident 1
residents 3
responsible 1
returns 1
reveals 1
roof 1
rubble 1
rude 1
run 1
running 1
sam 9
samuel 2
saves 1
scare 1
scavenges 1
scavenging 1
search 1
see 1
seem 1
sees 1
selling 2
sent 2
serves 1
several 1
she 22
shelter 1
ships 1
shoes 1
shoots 1
simply 1
since 1
sitting 1
situation 1
slaughterhouse 1
small 2
so 1
soon 1
speaking 1
specific 1
start 1
starts 2
station 1
stepanovich 2
stories 1
strange 1
strangle 1
street 2
streets 1
successful 1
such 1
suggested 1
suicide 1
supplies 1
supply 1
supposedly 1
suspicious 1
swiftly 1
taken 5
takes 4
taking 2
technology 1
telling 2
tells 1
tempted 1
than 1
that 12
the 73
their 5
them 4
then 1
there 1
they 2
things 1
this 3
though 1
through 1
throw 1
time 1
title 1
to 49
together 1
too 2
transpires 1
travel 1
tricked 1
tries 1
trying 1
turn 1
turning 1
turns 1
two 2
typical 1
uncanny 1
uncovered 1
understands 1
unknown 4
unlikely 1
unnamed 1
unrecognizable 1
unsustainable 1
until 1
up 2
used 1
vents 1
ventured 1
victoria 5
violently 1
wanting 1
was 1
waste 2
way 2
wealth 1
wear 1
were 1
when 4
where 2
whereabouts 1
whether 2
which 6
while 1
who 3
whom 3
will 1
william 6
willie 2
window 1
with 6
woburn 6
woman 2
word 1
words 1
work 2
working 1
world 1
write 1
writing 1
young 1
