12403640
/m/02w3q5m
/m/02w3q5m
James Moloney
2000
1st 1
2000 2
a 9
about 2
according 1
acts 1
advice 1
against 1
agenda 1
aim 1
alex 2
all 1
also 1
an 1
and 9
appearing 1
australian 1
be 2
becomes 1
been 1
befalls 1
befriends 1
begin 1
begins 1
betrays 1
between 1
boy 1
boys 1
by 1
care 1
change 1
close 1
confrontational 1
copyright 1
crossdressing 1
dangerous 1
dear 1
decisions 1
deliberately 1
different 1
difficult 1
does 1
edition 1
even 1
eventually 1
ever 1
everything 2
faced 1
feisty 1
final 1
first 1
for 2
friends 3
friendship 1
girl 2
going 1
has 1
he 7
help 1
helps 1
her 5
high 1
him 1
his 7
holds 1
ideas 1
in 5
intrigued 1
is 9
isolate 1
it 1
james 1
jersey 1
keen 1
life 1
like 1
looks 1
love 1
magee 2
man 1
manner 1
mates 2
mclachlan 3
me 1
means 2
meets 2
moloney 1
most 1
murray 2
named 1
new 1
now 1
nuala 3
of 4
on 1
out 1
own 1
paperback 1
plan 1
premiership 1
relationship 1
rugby 2
school 2
selected 1
she 4
sportsman 1
starting 1
story 1
summary 1
team 2
tells 1
tension 1
the 7
there 1
think 1
this 1
to 6
touch 1
towards 1
tragedy 1
troubled 1
twenty 1
until 2
unusual 1
very 1
weakness 1
what 3
when 1
who 2
will 1
win 1
winning 1
with 3
xavier 7
xv 1
year 2
years 1
young 1
