529614
/m/02m0cg
/m/02m0cg
Garth Nix

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 25
abhorsen 6
abhorsens 1
able 3
about 1
accompanying 1
actually 1
after 2
again 2
air 1
also 1
altercation 1
an 2
ancelstierre 2
and 29
anew 1
another 2
are 1
armor 1
as 12
asks 1
asleep 1
astarael 2
astaraelthe 1
attacked 1
attempting 1
attempts 1
avoid 1
avoids 1
aware 1
away 1
be 2
becomes 1
been 1
before 2
being 1
belisaere 2
bell 1
bells 1
bind 1
binding 2
boat 2
boats 1
body 3
both 1
bound 1
bridge 1
bring 1
bringing 1
build 1
burial 1
buried 1
but 3
by 7
called 1
cannot 3
capital 1
cat 1
center 1
clairvoyant 1
clayr 1
close 1
coast 1
collar 3
construct 1
continue 1
continues 1
crash 1
creature 4
cross 2
crosses 1
crossing 1
cryptic 1
daughter 1
day 1
dead 7
death 10
deep 1
defeats 1
delay 1
determines 1
die 1
dies 1
discover 1
discovers 1
each 1
else 1
emerge 1
entering 1
everyone 1
evil 1
fall 1
family 1
far 3
fast 1
fatal 2
father 6
figurehead 1
final 1
finally 1
find 4
first 1
flees 1
flood 1
focused 1
following 1
food 1
for 5
form 3
free 1
from 9
given 2
goal 1
guard 1
guidance 2
hanging 1
has 4
havoc 2
he 6
hear 1
hears 1
help 1
her 15
herself 1
him 6
his 2
historical 1
holehallow 1
home 1
house 5
however 1
hundred 1
imprisoned 1
imprisonment 1
in 13
inside 1
insists 1
instills 1
intact 1
intends 1
into 3
is 9
island 1
it 4
jester 1
journey 3
keep 1
kerrigor 7
king 1
kingdom 2
kisses 1
known 1
last 1
later 1
leaving 1
left 1
life 1
little 1
located 1
long 3
look 1
loosens 1
losing 1
magic 1
magically 1
man 2
meets 1
miniature 1
mogget 11
mordicant 1
mother 1
murder 1
music 1
name 1
narrowly 1
necromantic 1
next 1
obtain 3
of 15
old 2
on 6
once 1
one 1
order 1
other 1
out 1
outrun 1
over 2
papers 1
paperwing 2
part 1
performs 1
place 2
planelike 1
possible 2
powerful 2
prevent 2
previous 1
process 1
projection 1
propelled 1
purpose 1
quiescence 1
ranna 2
reach 2
realm 1
reasons 1
releases 2
remain 1
reservoir 1
rest 1
return 1
rid 1
ring 2
ringing 1
rise 1
risen 1
ritual 1
river 1
roughly 1
royal 2
running 1
ryelle 1
sabriel 15
safety 1
sail 1
sanar 1
saraneth 1
save 1
school 1
seaside 1
seven 1
she 12
since 1
sinkhole 2
sleep 1
small 1
someone 1
sound 1
spell 1
stalked 1
stayed 1
stopping 1
structure 1
succeed 1
summon 1
supplies 1
surrounding 1
take 1
takes 1
tells 2
that 7
the 37
their 1
them 1
then 1
there 1
they 8
those 1
through 1
throws 1
time 2
to 26
too 1
touchstone 5
trapped 1
tunnel 1
twins 1
two 1
unbound 1
underground 1
until 1
up 2
use 1
using 1
village 1
wakes 1
walk 1
wall 2
walls 1
was 1
water 2
wearing 1
well 1
what 1
where 1
which 3
while 1
white 1
who 4
will 1
with 6
without 1
wreak 1
years 1
