1585104
/m/05df6w
/m/05df6w
Peter Tompkins
1973

18th 1
a 4
also 2
alternative 2
amongst 1
and 7
are 1
as 7
auras 1
backster 1
be 1
bioelectrics 1
book 5
bose 1
brain 1
by 2
carver 1
century 1
chandra 1
claims 1
cleve 1
corentin 1
despite 1
discussed 1
discusses 1
dowsing 1
energy 1
experiments 1
farming 1
george 1
health 1
includes 2
is 2
jagdish 1
kervran 1
kirlian 1
lack 1
life 1
louis 1
magnetotropism 1
many 2
may 1
method 1
methods 1
nervous 1
of 4
on 3
one 1
orgone 1
others 1
philosophy 1
photography 1
pioneered 1
plant 1
plants 1
polygraph 1
practice 1
pseudoscientific 1
psychophysics 1
radionics 1
regarded 1
scientists 2
sentient 1
skeptics 1
soil 2
stimuli 1
such 1
summaries 1
system 1
that 1
the 6
their 1
through 1
topics 1
unscientific 1
was 1
washington 1
well 2
which 1
work 1
