851212
/m/03h3lw
/m/03h3lw
Alan Garner
1973-09-17
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 22
affair 1
after 1
again 1
against 1
agree 1
alive 1
all 2
alternated 1
an 8
ancient 1
and 16
another 1
are 2
artifact 1
as 6
asking 1
at 5
attention 1
au 1
avoiding 1
axe 4
axehead 2
barthomley 4
be 1
become 1
becomes 2
been 2
believing 1
berserker 1
besieged 1
beyond 1
bicycles 1
bid 1
bring 1
build 1
burial 1
buried 1
buries 1
but 4
by 8
call 1
calling 1
caravan 1
cat 1
cats 3
chimney 3
circumstances 1
civil 1
cooped 1
cop 4
corn 1
created 1
crewe 2
day 2
decide 1
descriptions 1
deserters 1
desired 1
dialogue 1
dissolves 1
dominated 1
donated 1
done 1
echo 1
embed 1
embedded 1
engineered 1
english 1
escaping 1
even 2
eventually 1
except 1
exsoldier 1
family 1
farewell 1
fights 1
final 1
find 3
first 1
fits 1
follow 1
folly 1
food 2
for 4
forgiveness 1
former 1
found 2
fowler 2
from 3
further 1
future 1
germany 1
girl 5
girlfriend 1
go 3
goddess 1
ground 1
group 1
guard 1
had 1
hallucinations 1
has 3
have 4
having 2
he 12
head 4
here 1
hill 1
his 7
home 1
impregnated 1
in 14
inconsistent 1
inhabitants 1
insists 1
intend 1
into 1
irish 1
is 11
it 7
jan 7
john 1
keep 1
kill 1
killing 3
landscape 1
later 1
leads 1
leave 1
leaves 1
leaving 1
lightning 1
like 1
lines 1
lives 1
living 1
local 1
london 2
love 1
macey 2
make 1
man 1
many 1
margery 3
meet 1
members 1
men 2
millstones 1
mine 1
modern 1
more 1
mothers 1
mound 2
mow 4
museum 1
narratives 1
neolithic 1
never 1
new 1
next 1
nurse 1
of 9
offerings 1
old 3
on 5
once 2
one 1
only 1
other 1
others 1
pair 1
parents 1
parliament 1
path 1
pattern 1
pieces 1
pillage 1
poisons 1
pretending 1
railway 1
raped 1
recovered 1
regularly 1
relationship 3
rescued 1
returning 1
returns 1
reveals 1
roman 1
rowley 2
royalist 1
royalists 1
rudheath 3
sacred 1
searching 1
selfdestructive 1
settle 1
settlement 1
sex 2
shanty 1
she 1
sided 1
similarities 1
site 1
slave 1
so 1
soldiers 2
spared 1
special 1
station 1
stockaded 1
stone 4
strikes 1
striking 1
student 1
sustained 1
symbol 1
take 2
talisman 1
teenager 1
tells 2
ten 1
that 2
the 32
their 7
them 3
themes 1
themselves 1
they 14
think 1
this 3
thomas 5
three 1
throughout 1
thunderstone 2
time 2
times 1
to 18
together 1
tom 4
touched 1
tower 1
town 1
train 1
tribal 1
tribe 2
troops 2
truce 1
try 1
unbalanced 1
unstable 1
up 1
using 1
valuable 1
venables 1
village 5
villager 1
villagers 1
visual 1
war 1
was 2
where 2
which 2
while 1
who 4
whom 1
wife 1
with 8
working 1
wounds 1
young 1
