20245161
/m/04zx_11
/m/04zx_11
Mercedes Lackey
2007-10
6 1
a 16
about 1
across 1
actually 1
against 2
alfrin 1
all 1
along 1
although 1
amidst 1
among 1
ancient 1
and 14
anyone 1
are 2
armathelieh 1
as 1
asleep 1
at 2
attacked 1
attempt 1
attempts 1
be 2
beautiful 1
because 1
become 2
before 1
begins 2
better 1
book 5
books 1
born 2
brothers 1
but 2
by 1
called 2
can 3
captain 4
cast 3
centuries 1
children 1
city 4
claims 1
comes 1
compendium 1
compiled 1
conclusion 1
couple 1
curiosity 1
damage 2
day 2
days 1
decides 1
desire 1
destroyed 1
determined 1
discover 1
discovered 1
dream 2
during 3
eldest 1
endarkend 1
ever 1
explained 1
falls 2
family 1
father 1
feeling 1
feels 1
felt 1
festival 1
few 1
fire 4
first 2
follow 1
following 1
fond 1
footsteps 1
for 3
four 1
frequently 1
friends 1
frightens 1
from 4
gets 3
gillain 1
giving 1
goes 1
going 1
good 1
got 1
great 2
greatlymore 1
hands 2
happens 1
harbor 3
harrier 4
has 4
have 1
having 3
he 19
heard 2
held 1
her 1
high 5
him 3
his 9
histories 1
history 1
home 1
if 2
imagery 1
improvise 1
in 10
instructions 1
interested 1
interests 1
into 1
is 13
it 5
its 2
know 1
knowing 1
knows 2
kraken 1
krakens 1
lady 1
lake 1
later 1
legend 1
library 2
light 2
look 1
losses 1
mage 1
mages 1
magic 2
magick 3
master 2
matter 1
messed 1
minor 1
more 1
must 2
myth 1
naming 1
next 1
night 1
no 1
nobility 1
not 3
nothing 1
of 17
off 1
on 6
one 1
only 1
or 1
origin 1
out 1
parents 1
piece 1
piqued 1
position 1
presumably 1
read 3
reading 2
readings 1
real 1
realizes 1
receives 1
remembers 1
reports 1
rolfort 1
room 1
scary 1
see 1
sennight 1
servants 1
she 2
ship 4
showed 1
simplest 1
six 1
sleep 1
snuffed 1
so 3
something 1
spell 5
starts 1
story 1
stumbles 1
sympathetic 1
tale 1
than 1
that 11
the 48
them 1
then 1
things 1
third 2
thousand 1
tiercel 10
tired 1
titled 1
to 17
topics 1
travelling 1
trouble 1
truth 2
trying 1
uncle 1
unknowingly 1
up 2
upon 1
verbatim 1
vessel 1
volumes 1
waiting 1
wakes 1
war 2
was 3
were 1
whatever 1
when 1
who 1
wild 1
with 2
within 1
working 1
wrecked 1
years 1
youngest 2
