427704
/m/0277xy
/m/0277xy
Katherine Dunn
1989
a 5
against 1
also 1
amputated 1
and 2
arturism 1
arty 6
as 3
at 1
attractive 2
battles 1
be 2
becoming 1
been 1
before 1
begins 1
being 1
between 1
binewski 1
body 1
brother 1
but 1
by 4
calls 1
can 2
carried 1
centered 1
chick 1
children 1
chunks 1
club 1
competition 1
constant 1
control 1
convince 1
created 1
cult 3
cut 1
daughter 3
deal 1
deals 1
defect 1
develops 1
directly 1
disfiguring 1
does 1
each 2
especially 1
father 1
fetish 1
fingers 1
first 1
flaunts 1
followers 1
for 2
freak 1
fund 1
gave 1
get 1
had 1
has 1
have 3
he 2
her 7
his 3
house 1
however 1
implied 1
in 7
increasingly 1
instead 1
intercourse 1
is 7
isolation 1
it 1
know 1
leader 1
lick 4
life 1
like 1
limbs 1
live 1
lives 3
local 1
losing 1
machiavellian 1
maintain 1
mary 1
may 1
meets 1
member 1
miranda 5
more 1
mother 1
motivation 1
moves 1
nineteenyearold 1
not 2
novel 1
nuns 1
objects 1
of 4
off 1
oly 6
on 3
operations 1
order 1
ostensibly 1
other 1
over 2
ovum 1
own 2
pays 1
peace 1
people 1
periods 1
persuades 1
pip 1
place 1
plans 1
potential 1
powers 1
present 1
principle 1
protect 1
punish 1
purity 1
raised 1
real 1
respective 1
rooming 1
same 1
search 1
second 1
set 1
sex 1
sexual 1
she 6
shows 1
siblings 1
significant 1
slowly 1
small 1
so 3
special 1
sperm 1
spy 1
stages 1
starting 1
stop 1
story 1
strip 1
struggle 1
tail 2
take 1
takes 1
telekinetic 1
than 1
that 2
the 11
their 7
them 1
there 1
they 3
this 2
through 2
time 1
to 13
toes 1
tries 1
trust 1
two 1
up 3
urged 1
was 1
wealthy 1
which 1
who 4
with 3
woman 1
women 1
