6258044
/m/0fz8t0
/m/0fz8t0
Sue Townsend
1999-10-14
a 13
abortion 1
accepts 1
acquainted 1
adrian 19
affair 2
after 1
all 1
also 1
an 4
and 14
another 1
archie 2
are 1
as 5
ashbydelazouch 1
at 1
attract 1
bar 1
becomes 2
being 2
book 1
bott 1
braithwaite 1
but 4
by 1
chef 2
clarkson 1
cohost 1
commissioned 1
completely 1
containing 1
country 1
culture 1
currently 1
debt 1
decides 1
destroyed 1
dev 1
diary 1
did 1
dies 1
discovers 1
disruptive 1
divorce 1
does 1
eleanor 1
elizabeth 1
employs 1
estranged 1
etc 1
ever 1
facing 1
fails 1
family 2
father 6
few 1
fire 1
flood 1
following 1
for 3
from 3
full 1
geriatric 1
gets 4
glenn 4
go 1
has 3
have 1
having 1
he 4
head 1
hears 1
her 1
him 2
his 9
home 2
homeless 1
house 4
idolises 1
idolising 1
in 8
infatuated 1
into 1
involved 1
is 16
it 2
jeremy 1
jo 4
job 2
labour 2
leaves 1
leaving 1
leicester 1
life 1
lifetime 1
live 2
lives 1
louise 1
love 1
luckily 1
mentally 1
middle 1
mother 5
move 1
moves 3
mp 2
name 1
needs 1
nigerian 1
night 1
no 1
not 1
novel 1
now 1
of 9
offered 1
old 1
one 1
oxygen 1
pages 1
pandora 9
pay 1
physically 1
piercings 1
pregnant 1
real 1
recovered 1
rest 1
restaurant 3
result 1
returned 1
revealed 1
room 1
rosie 1
sacked 1
separation 1
sets 1
sex 1
show 1
shows 1
singh 1
sister 1
soho 1
son 2
sons 1
special 1
spends 1
standing 1
start 1
suspected 1
tait 1
teacher 1
the 16
their 1
then 3
there 1
they 1
things 1
three 1
to 7
together 1
top 1
turned 1
tv 3
ultimately 1
uninsured 1
unprotected 1
unstable 1
upstaged 1
upstairs 1
victim 1
when 1
who 4
whom 2
wife 1
william 2
with 9
woman 1
wreckage 1
write 1
writes 1
