840202
/m/03f_1h
/m/03f_1h
Robin Hobb
1996
a 10
abate 1
accused 2
addled 1
admits 1
after 1
again 1
ailing 2
alive 2
all 1
also 1
amassing 1
ambitious 1
an 5
and 27
another 1
any 1
approaches 1
are 3
as 4
assassin 3
at 7
attack 2
attacks 1
attempt 2
attention 1
back 2
bands 1
barely 1
be 3
because 1
been 1
before 2
begin 1
begins 1
beloved 1
biggest 1
bolder 1
bonded 1
buck 1
buckkeep 3
burrich 1
but 5
by 6
can 4
carried 1
chade 1
chance 1
change 1
cheating 1
chivalry 1
close 1
coast 1
coastal 2
come 2
command 1
commanding 1
complete 1
conduct 1
consumed 1
converge 1
convinces 1
court 4
courtship 1
daughter 1
day 1
dead 1
death 3
debts 1
decides 1
desperately 1
despite 1
dies 1
discovering 1
discovers 1
disease 1
does 1
down 1
drugs 1
duchies 5
duke 1
duties 2
easily 1
easy 1
elderlings 1
embroild 1
enemies 2
errand 1
ever 1
every 1
failing 1
family 1
father 1
fending 1
finality 1
finally 1
find 1
first 1
fitz 22
folk 1
folks 1
fool 1
for 3
foray 1
forbidden 2
forced 1
forever 1
forged 3
free 1
from 3
gain 1
gets 1
give 1
glimpse 1
go 1
gone 1
greater 1
grow 1
grows 1
guards 1
happiness 1
has 7
he 11
heartbreaking 1
heir 1
held 2
help 2
her 4
him 5
himself 4
his 18
hoping 1
huge 1
hunt 1
illness 1
immediately 1
imprisoned 1
in 6
instead 1
into 1
intrigues 1
is 13
it 2
itself 1
keep 3
king 9
kingdom 2
kinginwaiting 2
lackeys 1
lady 1
late 1
least 2
leave 3
leaves 1
leaving 1
left 3
legendary 1
life 1
little 1
long 1
loss 1
love 1
loves 1
loyalty 2
made 1
maid 1
make 1
makes 2
many 3
marry 1
may 1
mean 1
mentors 1
merciless 1
messages 1
mind 2
mindclouding 1
miserably 1
molly 6
more 3
mostly 1
mountain 1
move 1
murderers 1
must 1
mysterious 1
need 1
never 1
new 1
no 1
not 2
now 2
of 22
off 2
on 3
one 3
ones 2
only 3
otherwise 1
out 3
pain 1
pauper 1
permission 1
personal 1
plans 2
pledged 1
plots 1
poison 1
power 2
pregnant 1
prey 1
prince 1
prone 1
protect 2
put 1
puts 1
queen 2
queeninwaiting 1
quell 1
quick 1
raider 2
raiders 4
rallies 1
reach 1
redship 1
redships 1
regal 8
regicide 1
rejects 1
rendered 1
repulsed 1
rescued 1
return 2
reveals 1
role 1
rouses 1
royal 2
safe 1
safely 1
sake 1
saving 1
says 1
secret 2
secrets 1
see 1
seizures 1
service 1
sharing 1
she 4
shortlived 1
shrewd 4
six 2
skill 3
so 1
something 1
soulless 1
source 1
spirit 1
stave 1
still 1
suffers 1
survived 1
taking 1
tells 3
terms 1
than 2
that 8
the 45
their 2
they 1
thing 1
this 5
those 1
threats 1
time 2
to 33
traitors 1
treacherous 1
true 2
try 1
unborn 1
uncertain 1
uncontrollable 1
unpredictable 1
unseen 1
unsent 1
upon 2
used 1
using 3
utter 1
utterly 1
verity 9
very 1
victory 1
vision 1
vows 1
vulnerable 1
warnings 1
wasting 1
way 1
weak 1
weakened 1
when 2
where 1
while 1
whose 1
will 1
wit 2
with 4
within 1
witted 1
wolf 1
woman 1
word 1
work 1
would 1
young 2
