1277536
/m/04phy2
/m/04phy2
Raymond Benson
2000-05-04
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
007 2
17 1
a 5
after 1
again 2
against 1
agents 1
along 1
american 1
an 2
and 18
approached 1
approval 1
are 1
arrival 1
as 1
asked 1
assassin 1
assassinations 1
at 1
back 2
bed 1
begins 1
benson 1
between 1
blackouts 1
bond 14
bonddouble 1
bring 1
britain 3
british 1
bullfighting 1
but 1
by 3
called 1
captures 1
career 1
causes 1
causing 1
centrepiece 1
cia 1
climax 1
closely 1
coming 1
conference 1
connection 1
control 1
convince 1
convincing 1
culmination 1
decided 1
destroy 1
diagnoses 1
do 1
domingo 1
double 2
doubleshot 1
dr 2
eartoear 1
elaborate 2
encounter 1
encounters 2
england 2
espada 6
events 1
evil 1
experiencing 1
expert 1
feare 2
female 1
find 1
finds 1
first 1
foiled 1
foiling 1
followed 1
force 1
forcefully 1
from 5
get 1
getting 1
gibraltar 4
goes 1
governor 1
hallucinations 1
hand 1
happenings 1
has 2
having 1
he 6
headaches 1
hedy 1
heidi 1
help 1
her 2
here 1
high 1
highranking 1
him 4
himalayas 1
his 5
in 9
into 1
investigate 1
is 3
it 1
james 2
jimmy 1
kill 1
killing 1
kills 1
kimberly 1
last 1
leads 1
leave 1
lesion 1
life 1
london 1
losing 1
m 3
margareta 1
mark 1
master 1
member 1
mind 1
minister 1
murdered 1
nadir 1
nationalistgangsterexmatador 1
new 1
novel 1
number 2
of 7
on 3
once 1
one 2
or 1
organization 1
out 1
own 1
part 1
peace 1
piel 2
place 1
plan 4
plans 2
play 1
plot 1
plunge 1
powers 1
practice 1
prevent 1
prime 1
priority 1
process 1
raymond 1
reputation 1
return 1
returned 1
ring 1
ruining 1
scheme 1
second 1
see 1
series 1
sets 2
she 1
since 1
sis 1
skin 1
skull 1
slit 1
smarting 1
some 1
spain 3
spanish 1
stealth 1
still 1
strategist 1
symptoms 1
tailing 1
take 1
takes 2
tangier 1
targets 1
taunt 2
taunts 1
terrible 1
terrorist 1
that 3
the 27
their 6
these 2
they 2
this 2
throat 1
through 1
thus 1
time 1
to 16
trek 1
trilogy 1
twins 2
union 12
up 3
vs 1
wakes 1
war 1
when 1
where 1
who 1
wishes 1
with 3
without 1
yassasin 2
