3904061
/m/0b61tz
/m/0b61tz
Dena Landon

{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
18 1
a 4
about 1
after 1
ago 1
all 4
amiss 1
an 2
and 3
are 1
at 1
because 1
been 1
birth 1
bonded 1
boundaries 1
by 1
capital 2
caravan 3
carlbine 3
caught 1
closely 1
confined 1
crossed 1
cure 1
days 1
decided 1
except 1
faces 1
few 1
for 1
forest 6
found 1
from 1
grew 1
had 3
happened 1
has 1
he 1
her 1
hidden 1
if 1
illness 2
in 1
incident 1
included 1
into 1
is 2
jerel 1
join 1
kill 1
king 3
later 1
leader 1
left 1
life 1
lived 1
magical 2
marked 2
men 1
mother 1
obtain 1
of 6
old 1
on 2
or 1
other 1
out 2
powerful 1
powers 1
realized 1
set 1
shapeshifter 1
shapeshifters 5
she 5
sick 1
slowly 1
so 1
something 1
soon 1
syanthe 4
tattoo 1
that 4
the 19
their 2
them 1
there 1
these 1
they 1
to 5
traders 1
travelers 1
was 2
way 1
were 1
when 1
who 2
whole 1
with 4
would 1
years 2
