2003681
/m/06d9_5
/m/06d9_5
Walter Scott
1815
a 23
abduction 1
able 1
accepted 1
access 1
accomplice 1
acknowledged 1
acquaintance 1
adjoining 1
adopted 1
advocate 1
after 3
afterwards 3
all 1
allowed 1
also 3
among 1
an 2
ancestors 1
and 33
announce 1
another 1
apartment 1
appearance 1
armed 1
arrested 1
arresting 1
arrived 1
as 6
at 11
attack 1
attorney 3
aunt 1
back 1
be 5
beach 1
became 1
because 1
been 5
being 1
believed 1
bertram 8
birth 2
body 1
boy 1
bribing 1
bridewell 1
brother 1
brown 4
bury 1
but 4
by 11
called 3
came 2
carriage 1
carried 1
cause 1
cave 2
cell 1
chamber 1
claim 1
colonel 6
come 1
committed 1
companion 1
compliance 1
comrade 1
concerned 1
connived 1
constables 1
contained 1
contents 1
conveyed 1
correspond 1
crime 1
cumberland 1
custody 2
customhouse 2
daughter 2
days 1
dead 1
death 1
debts 1
described 1
dined 1
dinmont 3
discharge 1
discouragement 1
divide 1
do 1
dominie 6
dowry 1
duel 1
during 1
dying 2
edinburgh 1
elapsed 1
ellangowan 3
embraced 1
encountered 1
endeavouring 1
erect 1
escape 2
escaped 1
established 1
estate 2
evidence 1
exacting 1
farmer 2
father 1
few 1
fired 1
five 1
followed 1
following 1
for 3
fortune 3
found 2
friend 3
from 7
fun 1
furnished 1
gabriel 1
gang 2
gave 1
gipsy 2
giving 1
glossin 5
godfrey 1
gone 1
great 1
guest 1
guy 1
had 18
handed 1
hands 1
harry 5
hatteraick 2
having 6
hazardous 1
hazlewood 6
he 19
heard 2
heir 2
help 1
helped 1
her 9
here 1
hidden 1
him 12
hired 1
his 19
holland 1
hospitality 1
house 4
however 2
hugged 1
husband 1
hut 1
identity 1
in 18
indefatigable 1
india 3
infant 1
inn 1
instantly 1
invited 1
it 1
jailer 1
journey 1
julia 5
just 1
justice 1
kennedy 1
kidnapped 1
kippletringan 1
largely 1
lawyer 1
learnt 2
leaving 1
led 2
left 2
letter 1
librarian 1
life 1
little 1
lodged 1
longlost 1
lover 2
lucy 4
macguffog 1
macmorlan 1
made 2
man 2
managed 1
mannering 3
mansion 1
marriage 1
matter 1
meanwhile 1
meg 5
mentioned 1
merchant 1
merrilies 4
mervyn 1
met 2
miss 3
more 1
morning 1
mortally 1
mr 6
mrs 2
named 1
neighbourhood 2
new 1
next 2
night 4
no 1
now 1
obtained 1
of 17
offered 1
on 4
once 1
one 1
out 1
over 1
oxford 1
paper 1
pass 1
peace 1
peculiarities 1
periods 1
place 1
pleasure 1
pleydell 2
pointed 1
portanferry 2
portmanteau 1
possessor 1
predicted 1
present 1
previously 1
prison 1
proceeding 1
promise 2
property 1
proved 1
purse 1
questioned 1
recognised 2
recovered 1
rescued 1
resigned 1
retreated 1
returned 2
revelations 1
reverted 1
riding 1
road 1
robbers 1
room 1
ruffians 2
ruined 1
ruins 1
same 2
sampson 2
saw 1
scotland 1
seized 1
sent 4
shared 1
she 7
shooting 1
shot 1
sister 1
sixteen 1
small 1
smuggler 2
smugglers 2
smuggling 1
snug 1
soldiers 1
some 1
son 1
spent 1
stars 1
started 1
staying 1
strangled 1
struggle 1
student 1
sudden 1
sufficient 1
suicide 1
tell 1
tending 1
that 7
the 55
their 2
them 5
then 1
thence 1
there 1
they 2
this 1
three 1
time 2
to 36
told 1
trace 1
trouble 1
tutor 1
upon 1
urged 1
vanbeest 1
ventures 1
very 1
village 1
visited 1
walking 1
wandering 1
was 19
way 1
when 4
whenever 1
where 6
which 4
while 1
who 11
whom 1
whose 3
widower 1
with 13
withdrawn 1
woodbourne 3
would 2
wounded 2
writing 1
years 2
young 4
