22772229
/m/05zvcrh
/m/05zvcrh
Mollie Hunter
1974-05
{"/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
8storey 1
a 12
abducted 1
about 1
actually 1
advice 1
advises 1
all 1
also 1
and 12
appears 1
approach 1
are 1
arrives 1
as 2
assault 1
at 1
attack 1
baby 1
be 1
been 1
before 1
believing 1
between 2
boar 1
bran 3
brother 1
build 3
building 1
but 3
by 3
camps 1
challenging 1
chief 3
chiefs 1
choosing 1
circular 1
coll 6
continue 1
convinced 1
crippling 1
culminates 1
curse 1
curses 1
daughter 2
day 1
declares 1
deer 1
defend 1
designed 1
desire 1
devastating 1
developing 1
devises 1
die 1
dies 1
directly 1
domain 1
domnall 4
downed 1
drawing 1
druid 1
druids 2
drystone 1
elders 1
escaped 1
events 1
existence 1
exposed 1
extremely 1
fact 1
faith 1
fand 2
father 1
fight 2
first 3
five 1
for 4
forth 1
from 1
fulfilling 1
gather 1
given 1
go 1
hard 1
has 2
he 8
her 1
hiding 1
high 1
him 4
himself 2
his 8
how 1
however 1
human 1
hundred 1
idea 3
impregnable 1
in 5
ingratiate 1
into 1
introducing 1
is 13
islands 2
it 5
just 1
killed 1
killing 1
knows 1
latin 2
leadership 1
leave 1
leg 1
like 1
listen 1
lives 1
long 1
longer 1
losses 1
loved 1
loves 1
made 2
make 1
many 1
master 1
mastery 1
matter 1
member 1
men 1
models 1
more 1
mother 1
must 1
nectan 5
no 1
none 1
novel 1
of 10
on 2
opens 1
opposes 1
other 1
over 2
overland 1
place 2
plan 1
plans 2
plotting 1
power 1
prepare 1
pretending 1
prophecy 1
proposal 1
puts 1
raid 1
raider 1
raiders 1
raven 1
ready 1
recently 1
repulsed 1
retreat 1
roman 2
romans 3
sacrifice 2
saying 1
second 1
seeking 1
seized 1
seven 1
shattered 1
should 1
shouting 1
since 1
slave 1
son 1
soon 1
stop 1
stronghold 3
strongly 1
structure 1
struggle 1
successful 1
summer 1
summoned 1
takes 2
taran 3
that 4
the 37
their 1
then 1
therefore 1
these 1
they 2
third 1
though 2
threatened 1
to 12
together 1
torn 1
trap 1
treachery 1
tribe 4
tribespeople 1
twelve 1
two 1
very 1
vindicated 1
wake 1
warriors 2
was 4
way 1
welcomed 1
when 6
which 1
while 2
who 6
whole 1
will 2
with 3
works 1
