20007123
/m/04y5m9q
/m/04y5m9q
Rick Riordan
2009
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
16 1
16th 1
34for 1
34horseshoe34 1
34my 1
34stick34 1
a 29
about 1
achilles 3
across 1
adding 1
admits 1
advantage 1
after 3
afterward 1
again 2
against 3
all 7
allow 1
along 1
alongside 1
also 2
always 1
amassed 1
ambushing 1
among 1
an 3
and 43
andromeda 1
angelo 1
annabeth 13
answer 1
approach 1
architect 1
are 3
ares 4
armpit 1
arms 1
army 3
arrangement 1
arrive 1
arrives 3
arriving 1
artemis 1
as 6
aside 1
asleep 1
at 10
athena 1
attempt 2
automatons 1
awakened 1
back 6
back34 1
badly 2
bathe 1
battle 6
battling 1
be 2
bear 1
because 1
beckendorf 2
become 1
becomes 4
becoming 1
been 2
before 3
begin 1
begins 1
behind 1
being 2
believes 1
betrays 1
better 1
bigger 1
birthday 2
blade 1
blessing 1
blocks 1
body 1
body34 1
boys 1
brain 1
break 1
breath 2
breaths 2
brother 2
brutally 1
buffets 1
building 2
built 1
but 10
by 13
cabin 3
cabins 4
call 1
calls 1
camp 7
camper 1
campers 5
can 1
canoe 1
castellan 1
caught 1
centaur 1
chariot 1
cheer 1
child 1
children 1
chiron 4
choice 2
city 2
clarisse 4
cloven 1
club 1
come 1
conclusion 1
confesses 1
confinement 1
connecticut 1
consistently 1
contact 1
convince 1
could 3
council 1
cousins 1
created 1
cyclopes3 1
cyclops 1
daedalus 1
dagger 1
dare 1
dawn 1
dealt 1
death 1
decides 1
decimated 1
decision 1
defeat 1
descend 1
deserve 1
despite 1
destroy 3
destructive 1
di 1
didn3t 1
dies 1
dives 1
doesnt 2
doors 1
dragon 1
drakon 2
dreams 2
driven 1
dryads 1
dumps 1
dying 3
east 1
either 1
elders 1
elizabeth 1
emerges 1
empire 2
encase 1
end 2
ending 1
enter 2
escape 1
ethan 4
even 1
every 1
fall 1
falling 2
family 2
fashioned 1
fatal 1
father 2
feeling 1
few 1
fight 4
final 1
find 2
finds 1
fire 1
first 1
fissure 1
flies 1
flying 1
foes 1
follow 1
for 11
forced 1
forces 3
friends 1
from 10
furious 1
gain 1
gaining 1
general 1
gets 1
give 1
given 2
gives 1
god 3
god3s 1
goddess 1
godhood 1
gods 4
grant 1
great 5
grover 3
guard 1
had 1
hades 3
halfblood 4
halfbloods 1
halfbrother 1
hand 1
happy 1
has 3
have 6
he 10
head 1
hear 1
hearth 1
hellhound 1
help 1
helping 1
helps 2
her 7
here 1
hermes 1
hero 4
herself 1
hestia 2
him 9
himself 4
hinges 1
his 23
hit 1
home 1
hope 1
however 1
hudson 1
hunters 1
hyperion 1
i 1
ie 1
immediately 1
immortal 1
impending 1
in 13
including 1
influence 1
information 1
informing 2
informs 2
injured 1
injures 1
injury 1
instead 1
into 6
is 19
island 1
issues 1
it 6
joined 1
keep 1
kill 2
kills 1
kiss 1
kisses 1
know 2
kronos 12
labyrinth 1
lake 1
last 3
late 1
learn 1
leaves 1
leaving 1
left 1
life 1
likely 1
listened 1
look 1
lord 2
losses 1
lost 1
loved 2
luke 12
manage 1
manages 1
maple 1
massive 2
meet 1
meets 1
melting 1
member 1
mentioned 2
minor 3
minus 1
minute 1
mist 1
monster 3
more 4
morpheus 1
mortal 3
mortals 1
most 1
mother 2
mount 2
mrs 1
must 1
my 1
naiads 1
narrating 1
nature 1
nemesis 1
nephew 1
new 7
next 1
nico 4
nonevil 1
not 4
numbers 1
nymphs 1
oath 1
oceanus 1
odds 1
of 30
off 2
oleary 1
olympian 1
olympians 1
olympus 6
on 11
once 1
one 2
only 2
or 1
oracle 1
order 1
organizes 1
original 1
other 3
out 3
overboard 1
palace 1
party 1
passes 1
past 1
percy 42
plan 2
point 2
ponies 1
poseidon 3
posing 1
possessed 1
possessing 1
power 2
powerful 1
powers 1
praises 1
prepare 1
prepares 1
pretended 1
princess 1
procures 1
promise 1
promises 1
prophecy 7
protect 1
proud 1
put 1
puts 1
questioning 1
quests 1
rachel 2
rather 1
reach 1
real 1
rebels 1
recognize 1
redesigns 1
refused 1
refuses 1
refusing 1
rejecting 1
relationship 1
remains 1
remember 1
rest 1
returning 1
rewarded 1
rewards 1
ricochets 1
right 1
river 3
room 3
run 1
sacrifices 2
satyrs 1
saves 1
saying 1
scythe 1
sea 1
second 1
see 1
seems 1
self 1
sends 1
seven 1
shall 1
she 14
sheer 1
ship 3
shocked 1
should 1
showing 1
side 2
siege 1
significant 1
silena 2
silenced 1
silently 1
similar 1
sixteen 1
slaughter 1
sleep 1
sleeping 1
small 1
smashes 1
smile 1
someone 1
son 2
soon 2
speaks 1
spell 1
spot 2
spy 3
stand 1
start 2
state 2
stay 1
still 2
stomach 1
stopped 1
storm 1
strike 1
style 1
styx 2
submission 1
such 1
surrounding 1
survive 1
swear 1
sword 1
talking 1
tell 1
tells 5
thalia 1
than 3
that 24
the 98
their 3
them 5
then 3
there 2
they 6
thirteen 1
this 1
throne 3
through 5
thrown 1
time 4
titan 3
titans 2
to 37
towards 1
traitor 1
tree 2
tries 1
truly 1
try 1
trying 1
turn 1
turns 1
twelve 1
two 1
typhon 1
tyson 3
under 2
underwater 2
underworld 2
unknown 1
until 1
upon 1
urban 1
uses 1
vacation 1
various 1
visiting 1
wants 1
war 3
was 8
way 2
weak 1
well 1
westport 1
when 7
where 2
which 3
while 1
who 5
wild 1
will 4
wink 1
wish 1
wishes 1
with 15
without 2
work 1
world 2
would 4
wounded 1
years 1
york 3
young 1
