853882
/m/03hdwh
/m/03hdwh
Evelyn Waugh
1938
a 5
accidentally 1
african 1
and 1
beast 1
becoming 1
boot 3
break 1
bucolic 1
civil 1
contributor 1
copper 1
correspondent 1
courtney 1
credit 1
daily 1
despite 1
diverted 1
dragooned 1
editors 1
far 1
fictional 1
for 1
foreign 1
from 1
genteel 1
get 1
he 5
him 1
his 4
however 1
in 1
ineptitude 1
iniquities 1
into 1
is 5
ishmaelia 1
john 1
left 1
lives 1
london 1
lord 1
man 1
manages 1
mistake 1
much 1
national 1
nature 1
newspaper 1
notes 1
novelist 1
of 4
other 1
out 1
poverty 1
pursuits 1
relief 1
return 1
returns 1
scoop 1
sent 1
shares 1
state 1
surname 1
the 6
there 1
threatens 1
title 1
to 8
total 1
war 1
when 2
where 1
who 2
william 1
young 1
