24664148
/m/05q8g20
/m/05q8g20
Christos Papadimitriou


1th 1
20th 1
a 6
adventure 1
alan 1
alfred 1
also 1
an 2
and 9
are 1
as 2
athens 1
based 1
battles 1
bertrand 1
between 1
by 2
cantor 1
century 2
characters 1
computer 1
creators 1
david 1
deeply 1
depicted 1
descends 1
disagreement 1
e 1
era 1
events 1
figures 1
foundational 3
frege 1
g 1
gave 1
gdel 1
georg 1
goals 1
gottlob 1
graphic 1
great 1
hand 1
he 1
henri 1
hilbert 1
historical 1
hubris 1
icon 1
ideological 1
in 5
inextricably 1
intertwines 1
introspective 1
is 4
it 1
itself 1
journey 1
just 2
kurt 1
late 1
life 1
logicomix 3
ludwig 1
madness 1
man 1
many 2
mathematics 1
meaning 1
modern 1
momentous 1
moore 1
myth 1
narrator 1
north 1
not 1
novel 1
of 12
on 5
one 2
origin 1
other 1
out 1
own 1
pacifist 1
parallel 1
personal 1
philosopher 1
philosophical 1
played 1
poincar 1
presentday 2
prominent 1
quest 3
quintessentially 1
rationalism 1
records 1
relief 1
rise 1
russell 3
sensitive 1
set 2
setting 1
shared 1
socalled 1
stands 1
story 4
struggles 2
tale 1
the 23
them 1
themes 1
these 2
thinkers 1
through 1
thus 1
to 1
tragedy 2
triumph 1
turing 1
turmoil 1
turn 1
upstage 1
was 2
which 2
whitehead 1
who 1
with 1
wittgenstein 1
