22978157
/m/064mjkp
/m/064mjkp
Dan Gutman
2006

13 1
a 5
aid 1
also 1
and 2
anonymously 1
as 1
bike 1
birdie 1
blind 2
bogard 1
bogie 2
boy 1
decides 1
develops 1
dollar 1
driving 1
edward 1
enlist 1
enters 1
father 1
for 1
forces 1
friendship 1
girl 1
golf 2
golfer 1
guitar 1
has 2
hawaii 1
he 3
him 1
his 2
in 1
into 1
is 1
it 1
join 1
lives 1
million 1
named 1
neighbor 1
of 2
old 1
out 1
parasails 1
plays 1
prize 1
professional 1
rides 1
short 1
someone 1
take 1
that 1
the 4
their 1
though 1
to 4
touch 1
tournament 1
try 1
turns 1
two 1
up 1
when 1
who 1
widowed 1
win 1
with 1
year 1
young 1
