7145803
/m/0h6nd6
/m/0h6nd6
Katherine Kurtz
1984
1123 1
1124 1
a 16
able 1
about 1
accompanied 1
acknowledges 1
addresses 1
adjust 1
advisors 1
after 2
ago 1
agree 1
agrees 2
alaric 1
almost 1
also 1
although 2
an 1
ancient 1
and 25
apart 1
approaching 2
archbishop 1
arrives 2
as 7
asks 1
assembled 1
assist 1
at 1
attacked 1
attempt 1
attempting 1
attempts 1
avert 1
barely 1
barons 1
been 4
before 1
beginning 1
begins 1
bishop 6
bishops 1
body 1
both 2
bows 1
bride 1
brings 1
brother 1
but 4
by 4
caitrin 6
can 1
capital 1
capture 1
captured 2
castle 1
caulay 1
century 2
ceremony 2
children 2
choose 1
chosen 1
christmas 2
city 1
clasp 2
clerics 1
cloak 1
confinement 1
confirm 1
consecrated 1
contacts 1
coronation 1
court 2
cousin 1
culdi 3
curia 1
daring 1
dead 1
deceased 1
decides 2
defying 1
delicate 1
departs 1
descended 1
desperate 1
details 1
determined 1
dhugal 14
dies 1
do 1
duke 1
duncan 7
during 2
earl 1
early 1
edmund 1
election 1
ending 1
enemy 1
ensue 1
entire 1
escape 3
establish 1
events 1
eventually 2
exchange 2
father 3
final 1
finally 2
find 1
flees 1
follows 1
for 2
forced 1
forces 1
former 1
frantically 1
free 1
friend 1
from 2
furious 1
gave 1
girl 1
gives 1
gwynedd 2
haldane 1
half 1
has 5
hate 1
have 2
he 6
head 1
heir 1
henry 1
her 3
herself 1
him 4
his 14
hold 1
hoping 2
horrified 1
hostages 1
however 1
human 1
husband 1
if 1
imprisoned 1
in 6
independent 1
informs 1
instantly 1
interrupted 1
is 15
istelyn 4
january 1
joining 1
kelson 16
king 5
knows 1
land 1
lasting 1
late 1
later 2
learns 1
line 1
lines 1
lives 1
llewell 3
local 1
lord 1
loris 5
lower 1
macardry 3
made 1
make 2
making 1
man 1
manages 1
many 1
marriage 2
marry 3
marrying 1
matter 1
mclain 1
meara 3
mearan 3
mearans 1
meets 1
memories 1
mental 1
messenger 1
month 1
more 1
morgan 3
morning 1
mother 2
natural 1
nearly 1
nevertheless 1
new 2
news 1
next 1
no 1
not 1
nothing 1
novel 1
november 1
nuptials 1
of 27
old 1
on 3
open 1
openly 1
orders 1
over 2
overwhelms 1
partderyni 1
past 2
period 1
places 1
possesses 1
possibility 1
power 1
powers 1
preparations 1
pressure 1
pretender 1
pretends 1
prevent 1
princess 1
prisoner 1
promise 1
queen 2
quickly 1
quinnell 1
raid 1
raised 1
ratharkin 4
reaches 1
realities 1
realizing 1
rebellion 1
recognizes 1
refuses 2
reluctant 1
reluctantly 1
rescued 1
return 1
returning 2
returns 2
reunited 1
rhemuth 4
ride 1
roughly 1
royal 1
ruled 1
rules 1
same 1
save 1
secede 1
seen 1
selection 1
several 1
severed 1
she 1
shields 2
short 2
shortly 2
should 1
sicard 2
sidana 9
since 1
sister 2
slashes 1
son 1
stop 1
stunned 1
successor 1
suddenly 1
surrender 2
survey 1
takes 1
taking 1
tale 1
tells 1
that 6
the 40
their 7
then 2
thereafter 1
throat 1
through 2
time 5
to 38
transha 2
treason 2
try 2
two 3
uncle 1
until 1
unusual 1
upon 2
uses 1
valoret 1
visit 1
visiting 1
vows 1
waits 1
warn 1
was 1
way 1
wearing 1
wedding 2
weeks 1
weep 1
when 4
where 2
which 3
while 2
who 5
wife 2
winter 1
with 2
witness 1
wounded 1
years 1
younger 1
youngest 1
