20930930
/m/05b39_r
/m/05b39_r
Anna Godbersen
2008-08-01
{"/m/03mfnf": "Young adult literature", "/m/07s9rl0": "Drama", "/m/01qxvh": "Romance novel"}
a 13
about 1
act 1
all 2
also 2
an 2
and 22
angry 1
anything 1
are 1
as 3
assume 1
at 2
aunt 1
avoid 1
back 2
be 2
becomes 1
bedroom 1
been 2
begins 1
being 2
best 1
blackmail 1
book 3
both 1
boy 1
bribe 1
broad 1
broud 1
but 2
by 1
cairns 1
california 3
carey 1
carolina 3
changes 1
clothing 1
comes 1
conveniently 1
day 1
death 1
decide 2
decides 4
depressed 1
develops 1
diana 8
did 1
dishing 1
dress 1
educated 1
elizabeth 11
ends 1
exfiance 1
exmaid 1
explain 1
family 2
famous 2
fast 1
father 1
financial 2
for 2
friend 2
from 3
gain 1
get 1
getting 1
go 1
good 2
got 1
had 2
happened 1
happens 1
happy 1
has 4
have 1
having 2
hayes 2
hears 1
heartbroken 1
heiress 1
help 3
helps 1
henry 10
her 10
herself 1
him 1
hoax 1
holland 8
hollands 2
home 2
how 1
idea 1
if 1
in 5
incredibly 1
information 1
into 1
is 8
it 3
keller 1
kidnapped 2
killing 1
knows 1
lady 1
late 1
learns 1
leave 1
lewis 1
like 2
lina 1
longhorn 2
lord 1
love 2
made 1
man 1
married 2
marries 1
marry 3
marrying 2
meanwhile 2
meets 2
money 1
mother 1
move 1
mr 3
name 1
named 1
new 2
next 1
night 1
no 1
not 2
of 9
officially 1
old 1
on 1
one 2
only 2
order 1
orphaned 1
other 1
out 2
over 1
own 1
parties 1
penelope 8
people 1
person 1
plan 1
proceed 1
promise 1
protect 1
protegee 1
proving 1
reason 1
recognize 1
relationship 1
remain 1
reputation 2
returning 1
reveal 1
rich 3
runaway 1
running 1
sake 1
scale 1
scandal 1
schoonmaker 2
secret 1
secrets 1
seeing 1
sent 1
she 8
shoot 1
sister 2
sisters 1
situation 1
snowden 2
so 2
social 2
socialite 1
society 1
some 1
somehow 2
stable 1
station 1
status 1
store 1
story 2
stuck 1
tailor 1
take 1
takes 1
taylor 1
tells 1
that 10
the 21
their 1
them 1
themselves 1
these 1
they 4
this 2
throughout 1
time 2
to 25
townspeople 1
train 2
tristan 2
troubles 2
try 1
two 1
up 1
uses 1
various 1
very 2
wants 1
wedding 1
western 1
what 1
when 1
where 1
while 1
who 1
whom 1
will 6
william 1
with 6
worsening 1
worthy 1
would 2
york 2
