493517
/m/02h2fb
/m/02h2fb
Gene Brewer
1995
a 7
about 1
after 2
along 1
alter 1
although 1
an 2
and 2
another 1
answers 1
at 1
be 1
becomes 1
been 2
being 1
bellevue 1
bending 1
bess 1
box 1
brewer 2
by 2
called 1
calls 1
catatonic 1
central 1
child 1
collecting 1
constellation 1
delusion 1
devastated 1
disappears 1
discovers 1
disorder 1
dr 2
ego 1
evaluation 1
eventually 1
five 1
for 1
form 1
found 2
from 1
gene 1
giselle 1
grand 1
had 1
harbour 1
has 2
having 1
he 4
help 1
him 1
himself 1
his 3
hospital 1
however 1
ill 1
in 5
individual 1
insignificance 1
institute 1
intentionally 1
is 6
journalist 1
killing 1
kpax 1
left 1
life 2
lowercase 1
lyra 1
male 1
manhattan 2
may 1
midtown 1
mpi 1
mugging 1
multiple 1
murder 1
named 1
new 1
not 1
of 11
over 1
own 1
patient 3
perpetrator 1
personality 1
physically 1
picked 1
planet 2
police 2
porter 2
promised 1
promises 1
prot 6
psychiatric 1
questions 1
reflect 1
responded 1
result 1
return 1
returns 1
robert 2
simply 1
somewhat 1
souvenirs 1
state 1
strange 2
subsequent 1
take 1
terminal 1
that 2
the 13
to 8
transferred 2
universe 1
up 1
victim 1
when 1
where 1
white 1
who 1
whose 1
wife 1
with 4
years 1
york 1
your 1
